STT,Mã chứng khoán,Mã ISIN,Tên chứng khoán,Loại chứng khoán,Thị trường,Ngày hủy ĐK,Lý do
1,TD1222042,VNTD12220420,Trái phiếu Chính phủ đấu thầu đợt 38/2012,Trái phiếu,Trái phiếu chuyên biệt,31/05/2022,Trái phiếu đáo hạn
2,CAM,VN000000CAM5,Cổ phiếu Công ty cổ phần Môi trường đô thị Cà Mau,Cổ phiếu,UpCOM,27/05/2022,Công ty cổ phần Môi trường đô thị Cà Mau là doanh nghiệp cổ phần hóa không phải là công ty đại chúng đã hủy đăng ký giao dịch chứng khoán và có yêu cầu hủy đăng ký chứng khoán tại VSD
3,NTG,VN000000NTG4,Cổ phiếu Công ty cổ phần Vận tải Thủy bộ Kiên Giang,Cổ phiếu,UpCOM,27/05/2022,Công ty cổ phần Vận tải thủy bộ Kiên Giang hủy tư cách công ty đại chúng.
4,NPM11909,VN0NPM119094,Trái phiếu NPM052022,Trái phiếu,HNX,27/05/2022,Trái phiếu đến thời gian đáo hạn
5,SVL,VN000000SVL9,Cổ phiếu Công ty cổ phần Nhân lực Quốc tế Sovilaco,Cổ phiếu,UpCOM,25/05/2022,Công ty cổ phần Nhân lực Quốc tế Sovilaco là doanh nghiệp cổ phần hóa không phải là công ty đại chúng đã hủy đăng ký giao dịch chứng khoán và có yêu cầu hủy đăng ký chứng khoán tại VSD.
6,GQN,VN000000GQN0,Cổ phiếu Công ty cổ phần Giống Thủy sản Quảng Nam,Cổ phiếu,UpCOM,25/05/2022,Công ty cổ phần Giống thủy sản Quảng Nam là doanh nghiệp cổ phần hóa không phải là công ty đại chúng đã hủy đăng ký giao dịch chứng khoán và có yêu cầu hủy đăng ký chứng khoán tại VSD.
7,CVIC2109,VN0CVIC21090,Chứng quyền VIC/VCSC/M/Au/T/A2,Chứng quyền,HOSE,25/05/2022,Hủy niêm yết do đáo hạn
8,CHPG2119,VN0CHPG21194,Chứng quyền HPG/VCSC/M/Au/T/A3,Chứng quyền,HOSE,25/05/2022,Hủy niêm yết do đáo hạn
9,CMSN2111,VN0CMSN21111,Chứng quyền MSN/VCSC/M/Au/T/A4,Chứng quyền,HOSE,25/05/2022,Hủy niêm yết do đáo hạn
10,CVNM2114,VN0CVNM21149,Chứng quyền VNM/VCSC/M/Au/T/A3,Chứng quyền,HOSE,25/05/2022,Hủy niêm yết do đáo hạn
