STT,Mã chứng khoán,Mã ISIN,Tên chứng khoán,Loại chứng khoán,Thị trường,Ngày hủy ĐK,Lý do
27,HGC,VN000000HGC2,Cổ phiếu Công ty cổ phần Quy hoạch Kiến trúc và Đầu tư Xây dựng Hậu Giang,Cổ phiếu,UpCOM,16/05/2022,Do Công ty cổ phần Quy hoạch Kiến trúc và Đầu tư xây dựng Hậu Giang là doanh nghiệp cổ phần hóa không phải là công ty đại chúng đã hủy đăng ký giao dịch chứng khoán và có yêu cầu hủy đăng ký chứng khoán tại VSD
28,HAW,VN000000HAW3,Cổ phiếu Công ty cổ phần Cấp nước và Vệ sinh môi trường nông thôn Hậu Giang,Cổ phiếu,UpCOM,16/05/2022,Công ty cổ phần Cấp nước và Vệ sinh môi trường nông thôn Hậu Giang là doanh nghiệp cổ phần hóa không phải là công ty đại chúng đã hủy đăng ký giao dịch chứng khoán và có yêu cầu hủy đăng ký chứng khoán tại VSD.
29,VHI,VN000000VHI8,Cổ phiếu Công ty cổ phần Kinh doanh và Đầu tư Việt Hà,Cổ phiếu,UpCOM,05/05/2022,Công ty cổ phần Kinh doanh và Đầu tư Việt Hà là doanh nghiệp cổ phần hóa không phải là công ty đại chúng đã hủy đăng ký giao dịch chứng khoán và có yêu cầu hủy đăng ký chứng khoán tại VSD.
30,CMSN2104,VN0CMSN21046,Chứng quyền MSN/ACBS/Call/EU/Cash/9M/09,Chứng quyền,HOSE,05/05/2022,Hủy niêm yết do đáo hạn
31,HAB,VN000000HAB7,Cổ phiếu Công ty cổ phần Sách và Thiết bị trường học Hà Nội,Cổ phiếu,UpCOM,05/05/2022,Do Công ty cổ phần Sách và Thiết bị trường học Hà Nội là doanh nghiệp cổ phần hóa không phải là công ty đại chúng đã hủy đăng ký giao dịch chứng khoán và có yêu cầu hủy đăng ký chứng khoán tại VSD.
32,CVHM2114,VN0CVHM21141,Chứng quyền.VHM.KIS.M.CA.T.09,Chứng quyền,HOSE,05/05/2022,Hủy niêm yết do đáo hạn
33,CMBB2109,VN0CMBB21096,Chứng quyền.MBB.KIS.M.CA.T.02,Chứng quyền,HOSE,05/05/2022,Hủy niêm yết do đáo hạn
34,CVRE2113,VN0CVRE21139,Chứng quyền.VRE.KIS.M.CA.T.13,Chứng quyền,HOSE,05/05/2022,Hủy niêm yết do đáo hạn
35,CVRE2105,VN0CVRE21055,Chứng quyền VRE/ACBS/Call/EU/cash/9M/08,Chứng quyền,HOSE,05/05/2022,Hủy niêm yết do đáo hạn
36,CVNM2113,VN0CVNM21131,Chứng quyền.VNM.KIS.M.CA.T.11,Chứng quyền,HOSE,05/05/2022,Hủy niêm yết do đáo hạn
37,CPNJ2109,VN0CPNJ21097,Chứng quyền.PNJ.KIS.M.CA.T.01,Chứng quyền,HOSE,05/05/2022,Hủy niêm yết do đáo hạn
38,CHPG2118,VN0CHPG21186,Chứng quyền.HPG.KIS.M.CA.T.14,Chứng quyền,HOSE,05/05/2022,Hủy niêm yết do đáo hạn
39,CTCB2105,VN0CTCB21057,Chứng quyền TCB/ACBS/Call/EU/Cash/9M/06,Chứng quyền,HOSE,05/05/2022,Hủy niêm yết do đáo hạn
40,CVIC2108,VN0CVIC21082,Chứng quyền.VIC.KIS.M.CA.T.12,Chứng quyền,HOSE,05/05/2022,Hủy niêm yết do đáo hạn
41,GTN,VN000000GTN4,Cổ phiếu Công ty cổ phần GTNFOODS,Cổ phiếu,HOSE,04/05/2022,Công ty cổ phần GTNFOODS hoán đổi cổ phiếu để sáp nhập vào Tổng Công ty Chăn nuôi Việt Nam - CTCP
42,HGA,VN000000HGA6,Cổ phiếu Công ty cổ phần Nông nghiệp Công nghệ cao Hậu Giang,Cổ phiếu,UpCOM,29/04/2022,Công ty cổ phần Nông nghiệp Công nghệ cao Hậu Giang là doanh nghiệp cổ phần hóa không phải là công ty đại chúng đã hủy đăng ký giao dịch chứng khoán và có yêu cầu hủy đăng ký chứng khoán tại VSD.
43,DTF,VN000000DTF7,Cổ phiếu CTCP Thực phẩm và Nước giải khát Dona Newtower,Cổ phiếu,UpCOM,28/04/2022,Công ty cổ phần Thực phẩm và Nước giải khát Dona Newtower hủy tư cách công ty đại chúng.
44,VIS,VN000000VIS5,Cổ phiếu Công ty Cổ phần Thép Việt ý,Cổ phiếu,HOSE,28/04/2022,Theo đề nghị của Công ty cổ phần Thép Việt – Ý do đã hủy tư cách công ty đại chúng.
45,CKDH2107,VN0CKDH21077,Chứng quyền.KDH.KIS.M.CA.T.06,Chứng quyền,HOSE,28/04/2022,Hủy niêm yết do đáo hạn
46,CHDB2103,VN0CHDB21035,Chứng quyền.HDB.KIS.M.CA.T.08,Chứng quyền,HOSE,28/04/2022,Hủy niêm yết do đáo hạn
47,CSTB2110,VN0CSTB21103,Chứng quyền.STB.KIS.M.CA.T.13,Chứng quyền,HOSE,28/04/2022,Hủy niêm yết do đáo hạn
48,CVIC2106,VN0CVIC21066,Chứng quyền.VIC.KIS.M.CA.T.11,Chứng quyền,HOSE,28/04/2022,Hủy niêm yết do đáo hạn
49,CPDR2103,VN0CPDR21034,Chứng quyền.PDR.KIS.M.CA.T.03,Chứng quyền,HOSE,28/04/2022,Hủy niêm yết do đáo hạn
50,CVJC2103,VN0CVJC21031,Chứng quyền.VJC.KIS.M.CA.T.07,Chứng quyền,HOSE,28/04/2022,Hủy niêm yết do đáo hạn
51,CVHM2111,VN0CVHM21117,Chứng quyền.VHM.KIS.M.CA.T.08,Chứng quyền,HOSE,28/04/2022,Hủy niêm yết do đáo hạn
52,CNVL2104,VN0CNVL21042,Chứng quyền.NVL.KIS.M.CA.T.07,Chứng quyền,HOSE,28/04/2022,Hủy niêm yết do đáo hạn
53,CHPG2114,VN0CHPG21145,Chứng quyền.HPG.KIS.M.CA.T.13,Chứng quyền,HOSE,28/04/2022,Hủy niêm yết do đáo hạn
54,CVRE2110,VN0CVRE21105,Chứng quyền.VRE.KIS.M.CA.T.12,Chứng quyền,HOSE,28/04/2022,Hủy niêm yết do đáo hạn
55,CVNM2111,VN0CVNM21115,Chứng quyền.VNM.KIS.M.CA.T.10,Chứng quyền,HOSE,28/04/2022,Hủy niêm yết do đáo hạn
56,CMSN2108,VN0CMSN21087,Chứng quyền.MSN.KIS.M.CA.T.12,Chứng quyền,HOSE,28/04/2022,Hủy niêm yết do đáo hạn
57,MVT,VN000000MVT5,Cổ phiếu Công ty cổ phần May Việt Thịnh,Cổ phiếu,UpCOM,26/04/2022,Công ty cổ phần May Việt Thịnh hủy tư cách công ty đại chúng.
58,SPS,VN000000SPS6,Cổ phiếu Công ty cổ phần Dịch vụ Dầu khí Sài Gòn,Cổ phiếu,UpCOM,21/04/2022,Công ty cổ phần Dịch vụ Dầu khí Sài Gòn đề nghị hủy đăng ký chứng khoán do không thuộc đối tượng phải đăng ký giao dịch chứng khoán theo quy định tại Thông tư số 32/2021/TT-BTC ngày 17/05/2021 của Bộ Tài chính.
