STT,Mã chứng khoán,Mã ISIN,Tên chứng khoán,Loại chứng khoán,Thị trường,Ngày hủy ĐK,Lý do
386,HCS,VN000000HCS7,Cổ phiếu Công ty cổ phần Thông tin Tín hiệu Đường sắt Hà Nội,Cổ phiếu,UpCOM,24/06/2021,Công ty không còn đáp ứng điều kiện là công ty đại chúng.
387,RLC,VN000000RLC1,Cổ phiếu Công ty cổ phần Đường bộ Lào Cai,Cổ phiếu,UpCOM,24/06/2021,Công ty cổ phần Đường bộ Lào Cai hủy tư cách Công ty đại chúng.
388,STV,VN000000STV2,Cổ phiếu Công ty cổ phần Chế tác đá Việt Nam,Cổ phiếu,UpCOM,24/06/2021,Công ty cổ phần Chế tác đá Việt Nam hủy tư cách Công ty đại chúng.
389,CFPT2016,VN0CFPT20169,Chứng quyền FPT/8M/SSI/C/EU/Cash-08,Chứng quyền,HOSE,23/06/2021,Hủy niêm yết do đáo hạn chứng quyền
390,TD1621478,VNTD16214783,Trái phiếu Chính phủ đấu thầu đợt 69/2016,Trái phiếu,Trái phiếu chuyên biệt,23/06/2021,Trái phiếu đáo hạn
391,BVBS16320,VNBVBS163205,Trái phiếu Ngân hàng Chính sách Xã hội,Trái phiếu,Trái phiếu chuyên biệt,22/06/2021,Trái phiếu đáo hạn
392,CVNM2103,VN0CVNM21032,Chứng quyền CVNM04MBS20CE,Chứng quyền,HOSE,21/06/2021,Chứng quyền đáo hạn
393,CPNJ2103,VN0CPNJ21030,Chứng quyền CPNJ04MBS20CE,Chứng quyền,HOSE,21/06/2021,Hủy niêm yết do đáo hạn chứng quyền
394,BVDB16106,VNBVDB161065,Trái phiếu Ngân hàng Phát triển Việt Nam,Trái phiếu,Trái phiếu chuyên biệt,18/06/2021,Trái phiếu đáo hạn
395,TTV,VN000000TTV0,Cổ phiếu Công ty cổ phần Thông tin Tín hiệu Đường sắt Vinh,Cổ phiếu,UpCOM,17/06/2021,Công ty cổ phần Thông tin Tín hiệu đường sắt Vinh không đáp ứng điều kiện là Công ty đại chúng
396,BVBS16319,VNBVBS163197,Trái phiếu Ngân hàng Chính sách Xã hội,Trái phiếu,Trái phiếu chuyên biệt,17/06/2021,Trái phiếu đáo hạn
397,TD1621477,VNTD16214775,Trái phiếu Chính phủ đấu thầu đợt 67/2016,Trái phiếu,Trái phiếu chuyên biệt,16/06/2021,Trái phiếu đáo hạn
398,HPU,VN000000HPU5,Cổ phiếu Công ty cổ phần 28 Hưng Phú,Cổ phiếu,UpCOM,16/06/2021,Cổ phiếu Công ty cổ phần 28 Hưng Phú không đáp ứng điều kiện là Công ty đại chúng.
399,AC4,VN000000AC42,Cổ phiếu Công ty cổ phần ACC - 244,Cổ phiếu,UpCOM,15/06/2021,Công ty không còn đáp ứng điều kiện là công ty đại chúng
400,CSTB2014,VN0CSTB20147,Chứng quyền STB/8M/SSI/C/EU/Cash-08,Chứng quyền,HOSE,15/06/2021,Hủy niêm yết do đáo hạn chứng quyền
401,CMBB2010,VN0CMBB20106,Chứng quyền MBB/8M/SSI/C/EU/Cash-08,Chứng quyền,HOSE,15/06/2021,Chứng quyền đáo hạn
402,HCMA0206,VN0HCMA02061,Trái phiếu đô thị Tp.HCM đợt 02/2006,Trái phiếu,HOSE,15/06/2021,Trái phiếu đáo hạn
403,CVH,VN000000CVH1,"Cổ phiếu Công ty cổ phần Công viên, Cây xanh Hải Phòng",Cổ phiếu,UpCOM,15/06/2021,"Công ty cổ phần Công viên, cây xanh Hải Phòng không còn đáp ứng điều kiện là Công ty đại chúng."
404,CSTB2010,VN0CSTB20105,Chứng quyền.STB.KIS.M.CA.T.08,Chứng quyền,HOSE,14/06/2021,Chứng quyền đáo hạn
405,CVIC2005,VN0CVIC20050,Chứng quyền.VIC.KIS.M.CA.T.07,Chứng quyền,HOSE,14/06/2021,Hủy niêm yết do đáo hạn chứng quyền
406,CVJC2006,VN0CVJC20066,Chứng quyền.VJC.KIS.M.CA.T.05,Chứng quyền,HOSE,14/06/2021,Hủy niêm yết do đáo hạn
407,CVRE2011,VN0CVRE20115,Chứng quyền.VRE.KIS.M.CA.T.09,Chứng quyền,HOSE,14/06/2021,Hủy niêm yết do đáo hạn
408,CVNM2011,VN0CVNM20117,Chứng quyền.VNM.KIS.M.CA.T.06,Chứng quyền,HOSE,14/06/2021,Chứng quyền đáo hạn
409,VDB111037,VNVDB1110370,Trái phiếu được Chính phủ bảo lãnh,Trái phiếu,Trái phiếu chuyên biệt,14/06/2021,Trái phiếu đáo hạn
410,CNVL2003,VN0CNVL20036,Chứng quyền.NVL.KIS.M.CA.T.04,Chứng quyền,HOSE,14/06/2021,Chứng quyền đáo hạn
411,CVHM2008,VN0CVHM20085,Chứng quyền.VHM.KIS.M.CA.T.05,Chứng quyền,HOSE,14/06/2021,Hủy niêm yết do đáo hạn chứng quyền
412,SOV,VN000000SOV3,Cổ phiếu Công ty cổ phần Mắt kính Sài Gòn,Cổ phiếu,UpCOM,14/06/2021,Công ty cổ phần Mắt kính Sài Gòn không đáp ứng điều kiện là Công ty đại chúng.
413,CMWG2016,VN0CMWG20168,Chứng quyền MWG-HSC-MET07,Chứng quyền,HOSE,11/06/2021,Chứng quyền đáo hạn
414,HBW,VN000000HBW1,Cổ phiếu Công ty cổ phần Nước sạch Hòa Bình,Cổ phiếu,UpCOM,10/06/2021,Công ty cổ phần Nước sạch Hòa Bình không đáp ứng điều kiện là Công ty đại chúng.
415,VDB111033,VNVDB1110339,Trái phiếu được Chính phủ bảo lãnh,Trái phiếu,Trái phiếu chuyên biệt,09/06/2021,Trái phiếu đáo hạn
416,TD1621476,VNTD16214767,Trái phiếu Chính phủ đấu thầu đợt 64/2016,Trái phiếu,Trái phiếu chuyên biệt,09/06/2021,Trái phiếu đáo hạn
417,HVB,VN000000HVB3,Cổ phiếu Công ty cổ phần bảo hiểm Hùng Vương,Cổ phiếu,Đại chúng chưa niêm yết,07/06/2021,Công ty cổ phần Bảo hiểm Hùng Vương không đáp ứng điều kiện là Công ty đại chúng.
418,CSTB2102,VN0CSTB21020,Chứng quyền CSTB04MBS20CE,Chứng quyền,HOSE,07/06/2021,Chứng quyền đáo hạn
419,CVHM2103,VN0CVHM21034,Chứng quyền CVHM01MBS20CE,Chứng quyền,HOSE,07/06/2021,Hủy niêm yết do đáo hạn
420,CVIC2102,VN0CVIC21025,Chứng quyền CVIC01MBS20CE,Chứng quyền,HOSE,07/06/2021,Hủy niêm yết do đáo hạn
421,CVPB2102,VN0CVPB21022,Chứng quyền CVPB04MBS20CE,Chứng quyền,HOSE,07/06/2021,Hủy niêm yết do đáo hạn chứng quyền
422,KGR,VN000000KGR4,Cổ phiếu Công ty cổ phần Tập đoàn Điện lạnh điện máy Việt Úc,Cổ phiếu,UpCOM,07/06/2021,Công ty cổ phần Tập đoàn Điện lạnh điện máy Việt Úc không còn đáp ứng điều kiện là Công ty đại chúng
423,TCH41905,VN0TCH419052,Trái phiếu chuyển đổi CTCP Đầu tư Dịch vụ Tài chính Hoàng Huy,Trái phiếu,Đại chúng chưa niêm yết,03/06/2021,Chuyển đổi trái phiếu thành cổ phiếu
424,TD1621475,VNTD16214759,Trái phiếu Chính phủ đấu thầu đợt 62/2016,Trái phiếu,Trái phiếu chuyên biệt,02/06/2021,Trái phiếu đáo hạn
425,CVRE2009,VN0CVRE20099,Chứng quyền.VRE.KIS.M.CA.T.07,Chứng quyền,HOSE,28/05/2021,Hủy niêm yết do đáo hạn
426,CSTB2007,VN0CSTB20071,Chứng quyền.STB.KIS.M.CA.T.07,Chứng quyền,HOSE,28/05/2021,Chứng quyền đáo hạn
427,CEC,VN000000CEC8,Cổ phiếu Công ty cổ phần Thiết kế Công nghiệp Hóa chất,Cổ phiếu,UpCOM,25/05/2021,Công ty cổ phần Thiết kế Công nghiệp Hóa chất không đáp ứng điều kiện là Công ty đại chúng.
428,FUCTVGF1,VN0FUCTVGF13,Chứng chỉ Quỹ Đầu tư Tăng trưởng TVAM,Chứng chỉ quỹ,HOSE,20/05/2021,Quỹ bị giải thể do hết thời gian hoạt động
429,VDB111028,VNVDB1110289,Trái phiếu được Chính phủ bảo lãnh,Trái phiếu,Trái phiếu chuyên biệt,19/05/2021,Trái phiếu đáo hạn
430,TD1621472,VNTD16214726,Trái phiếu Chính phủ đấu thầu đợt 54/2016,Trái phiếu,Trái phiếu chuyên biệt,19/05/2021,Trái phiếu đáo hạn
431,CKH,VN000000CKH4,Cổ phiếu Công ty cổ phần Cơ khí Chế tạo Hải Phòng,Cổ phiếu,UpCOM,18/05/2021,Công ty cổ phần Cơ khí chế tạo Hải Phòng không đáp ứng điều kiện là Công ty đại chúng.
432,QH062101,VN0QH0621016,Trái phiếu Chính phủ,Trái phiếu,Trái phiếu chuyên biệt,17/05/2021,Trái phiếu đáo hạn
433,CHPG2018,VN0CHPG20188,Chứng quyền.HPG.KIS.M.CA.T.09,Chứng quyền,HOSE,17/05/2021,Chứng quyền đáo hạn
434,CKDH2001,VN0CKDH20012,Chứng quyền.KDH.KIS.M.CA.T.02,Chứng quyền,HOSE,17/05/2021,Chứng quyền đáo hạn
435,CMSN2009,VN0CMSN20097,Chứng quyền.MSN.KIS.M.CA.T.07,Chứng quyền,HOSE,17/05/2021,Hủy niêm yết do đáo hạn
436,CTCH2001,VN0CTCH20015,Chứng quyền.TCH.KIS.M.CA.T.02,Chứng quyền,HOSE,17/05/2021,Hủy niêm yết do đáo hạn chứng quyền
437,TD1621471,VNTD16214718,Trái phiếu Chính phủ đấu thầu đợt 51/2016,Trái phiếu,Trái phiếu chuyên biệt,12/05/2021,Trái phiếu đáo hạn
438,CREE2006,VN0CREE20061,Chứng quyền REE-HSC-MET04,Chứng quyền,HOSE,11/05/2021,Hủy niêm yết do đáo hạn chứng quyền
439,CHPG2026,VN0CHPG20261,Chứng quyền CHPG03MBS20CE,Chứng quyền,HOSE,11/05/2021,Hủy niêm yết do đáo hạn
440,CMWG2015,VN0CMWG20150,Chứng quyền MWG-HSC-MET06,Chứng quyền,HOSE,11/05/2021,Chứng quyền đáo hạn
441,CBC,VN000000CBC4,Cổ phiếu Công ty cổ phần Chè Bàu Cạn,Cổ phiếu,UpCOM,11/05/2021,Công ty cổ phần Chè Bàu Cạn không đáp ứng điều kiện là Công ty đại chúng.
442,TD1621470,VNTD16214700,Trái phiếu Chính phủ đấu thầu đợt 49/2016,Trái phiếu,Trái phiếu chuyên biệt,05/05/2021,Trái phiếu đáo hạn
443,CVPB2011,VN0CVPB20115,Chứng quyền VPB-HSC-MET05,Chứng quyền,HOSE,05/05/2021,Hủy niêm yết do đáo hạn chứng quyền
444,CHDB2008,VN0CHDB20086,Chứng quyền.HDB.KIS.M.CA.T.05,Chứng quyền,HOSE,05/05/2021,Chứng quyền đáo hạn
445,CVHM2010,VN0CVHM20101,Chứng quyền VHM-HSC-MET04,Chứng quyền,HOSE,05/05/2021,Chứng quyền đáo hạn
446,CFPT2012,VN0CFPT20128,Chứng quyền FPT-HSC-MET06,Chứng quyền,HOSE,05/05/2021,Hủy niêm yết do đáo hạn chứng quyền
447,CSTB2016,VN0CSTB20162,Chứng quyền.STB.KIS.M.CA.T.10,Chứng quyền,HOSE,05/05/2021,Hủy niêm yết do đáo hạn
448,CVPB2016,VN0CVPB20164,Chứng quyền VPB/5M/SSI/C/EU/Cash-09,Chứng quyền,HOSE,05/05/2021,Chứng quyền đáo hạn
449,CTCB2013,VN0CTCB20133,Chứng quyền TCB/5M/SSI/C/EU/Cash-09,Chứng quyền,HOSE,05/05/2021,Hủy niêm yết do đáo hạn chứng quyền
450,CVRE2014,VN0CVRE20149,Chứng quyền VRE/5M/SSI/C/EU/Cash-09,Chứng quyền,HOSE,05/05/2021,Hủy niêm yết do đáo hạn
451,CHPG2022,VN0CHPG20220,Chứng quyền HPG-HSC-MET05,Chứng quyền,HOSE,05/05/2021,Hủy niêm yết do đáo hạn
452,ALP,VN000000ALP9,Cổ phiếu Công ty cổ phần Đầu tư Alphanam,Cổ phiếu,Đại chúng chưa niêm yết,04/05/2021,Công ty cổ phần Đầu tư Alphanam không đáp ứng điều kiện là Công ty đại chúng.
453,UNM,VN000000UNM0,Cổ phiếu Công ty cổ phần Liên hiệp Xuất nhập khẩu và Đầu tư Hà Nội,Cổ phiếu,UpCOM,04/05/2021,Công ty cổ phần Liên hiệp Xuất nhập khẩu và Đầu tư Hà Nội không còn đáp ứng điều kiện là Công ty đại chúng.
454,TD1621455,VNTD16214551,Trái phiếu Chính phủ đấu thầu đợt 46/2016,Trái phiếu,Trái phiếu chuyên biệt,28/04/2021,Trái phiếu đáo hạn
455,CVHM2006,VN0CVHM20069,Chứng quyền.VHM.KIS.M.CA.T.04,Chứng quyền,HOSE,28/04/2021,Hủy niêm yết do đáo hạn
456,CVIC2004,VN0CVIC20043,Chứng quyền.VIC.KIS.M.CA.T.06,Chứng quyền,HOSE,28/04/2021,Hủy niêm yết do đáo hạn chứng quyền
457,CSBT2007,VN0CSBT20071,Chứng quyền.SBT.KIS.M.CA.T.03,Chứng quyền,HOSE,28/04/2021,Hủy niêm yết do đáo hạn chứng quyền
458,CHDB2007,VN0CHDB20078,Chứng quyền.HDB.KIS.M.CA.T.04,Chứng quyền,HOSE,28/04/2021,Chứng quyền đáo hạn
459,CMSN2007,VN0CMSN20071,Chứng quyền.MSN.KIS.M.CA.T.06,Chứng quyền,HOSE,28/04/2021,Hủy niêm yết do đáo hạn
460,CVJC2004,VN0CVJC20041,Chứng quyền.VJC.KIS.M.CA.T.04,Chứng quyền,HOSE,28/04/2021,Chứng quyền đáo hạn
461,HCM_0306,VN00HCM03061,Trái phiếu Đô thị TP.HCM đấu thầu đợt 03/2006,Trái phiếu,HOSE,27/04/2021,Trái phiếu đáo hạn
462,CMWG2017,VN0CMWG20176,Chứng quyền CMWG03MBS20CE,Chứng quyền,HOSE,27/04/2021,Chứng quyền đáo hạn
463,CSTB2017,VN0CSTB20170,Chứng quyền CSTB03MBS20CE,Chứng quyền,HOSE,27/04/2021,Chứng quyền đáo hạn
464,CFPT2017,VN0CFPT20177,Chứng quyền CFPT03MBS20CE,Chứng quyền,HOSE,27/04/2021,Hủy niêm yết do đáo hạn
465,CVRE2015,VN0CVRE20156,Chứng quyền CVRE01MBS20CE,Chứng quyền,HOSE,27/04/2021,Hủy niêm yết do đáo hạn chứng quyền
466,VDB111027,VNVDB1110271,Trái phiếu được Chính phủ bảo lãnh,Trái phiếu,Trái phiếu chuyên biệt,26/04/2021,Trái phiếu đáo hạn
467,TD1621454,VNTD16214544,Trái phiếu Chính phủ đấu thầu đợt 43/2016,Trái phiếu,Trái phiếu chuyên biệt,20/04/2021,Trái phiếu đáo hạn
468,CHPG2014,VN0CHPG20147,Chứng quyền HPG/9M/SSI/C/EU/Cash-06,Chứng quyền,HOSE,20/04/2021,Hủy niêm yết do đáo hạn chứng quyền
469,TP4A1306,VN0TP4A13066,Trái phiếu Chính phủ BLPH đợt 13/2006,Trái phiếu,Trái phiếu chuyên biệt,19/04/2021,Trái phiếu đáo hạn
470,TP4A1206,VN0TP4A12068,Trái phiếu Chính phủ BLPH đợt 12/2006,Trái phiếu,Trái phiếu chuyên biệt,16/04/2021,Trái phiếu đáo hạn
471,XTY117001,VNXTY1170014,Trái phiếu Công ty TNHH Xuân Thiện Yên Bái năm 2017,Trái phiếu,HNX,14/04/2021,Công ty tự nguyện hủy đăng ký chứng khoán tại VSD do dừng việc đăng ký niêm yết trên Sở Giao dịch Chứng khoán Hà Nội
472,CMSN2012,VN0CMSN20121,Chứng quyền MSN/VCSC/M/Au/T/A1,Chứng quyền,HOSE,12/04/2021,Chứng quyền đáo hạn
473,CVPB2013,VN0CVPB20131,Chứng quyền VPB/VCSC/M/Au/T/A2,Chứng quyền,HOSE,12/04/2021,Chứng quyền đáo hạn
474,CHPG2025,VN0CHPG20253,Chứng quyền HPG/VCSC/M/Au/T/A1,Chứng quyền,HOSE,12/04/2021,Hủy niêm yết do đáo hạn chứng quyền
475,CVNM2014,VN0CVNM20141,Chứng quyền VNM/VCSC/M/Au/T/A1,Chứng quyền,HOSE,12/04/2021,Hủy niêm yết do đáo hạn chứng quyền
476,CFPT2014,VN0CFPT20144,Chứng quyền FPT/VCSC/M/Au/T/A2,Chứng quyền,HOSE,12/04/2021,Hủy niêm yết do đáo hạn
477,CKDH2004,VN0CKDH20046,Chứng quyền CKDH01MBS20CE,Chứng quyền,HOSE,12/04/2021,Hủy niêm yết do đáo hạn chứng quyền
478,GSC,VN000000GSC9,Cổ phiếu Công ty cổ phần Thuỷ điện Geruco Sông Côn,Cổ phiếu,Đại chúng chưa niêm yết,09/04/2021,Công ty cổ phần Thủy điện Geruco Sông Côn không đáp ứng điều kiện là Công ty đại chúng.
479,CFPT2013,VN0CFPT20136,Chứng quyền FPT/BSC/C/6M/EU/Cash/2020-01,Chứng quyền,HOSE,09/04/2021,Hủy niêm yết do đáo hạn
480,CHPG2024,VN0CHPG20246,Chứng quyền HPG/BSC/C/6M/EU/Cash/2020-01,Chứng quyền,HOSE,09/04/2021,Hủy niêm yết do đáo hạn
481,TD1621453,VNTD16214536,Trái phiếu Chính phủ đấu thầu đợt 35/2016,Trái phiếu,Trái phiếu chuyên biệt,07/04/2021,Trái phiếu đáo hạn
482,BJC,VN000000BJC9,Cổ phiếu Công ty cổ phần VRG – Bảo Lộc,Cổ phiếu,Đại chúng chưa niêm yết,07/04/2021,Công ty cổ phần VRG - Bảo Lộc không đáp ứng điều kiện là Công ty đại chúng.
483,CSTB2006,VN0CSTB20063,Chứng quyền.STB.KIS.M.CA.T.06,Chứng quyền,HOSE,06/04/2021,Huỷ niêm yết do đáo hạn chứng quyền
484,CVRE2007,VN0CVRE20073,Chứng quyền.VRE.KIS.M.CA.T.06,Chứng quyền,HOSE,06/04/2021,Chứng quyền đáo hạn
485,CHPG2010,VN0CHPG20105,Chứng quyền.HPG.KIS.M.CA.T.07,Chứng quyền,HOSE,06/04/2021,Chứng quyền đáo hạn
486,TP4A1006,VN0TP4A10062,Trái phiếu Chính phủ BLPH đợt 10/2006,Trái phiếu,Trái phiếu chuyên biệt,06/04/2021,Trái phiếu đáo hạn
487,CVPB2017,VN0CVPB20172,Chứng quyền.VPB.KIS.M.CA.T.01,Chứng quyền,HOSE,06/04/2021,Hủy niêm yết do đáo hạn chứng quyền
488,CEIB2001,VN0CEIB20017,Chứng quyền.EIB.KIS.M.CA.T.01,Chứng quyền,HOSE,06/04/2021,Hủy niêm yết do đáo hạn chứng quyền
489,TP1A1406,VN0TP1A14060,Trái phiếu Chính phủ BLPH đợt 14/2006,Trái phiếu,Trái phiếu chuyên biệt,05/04/2021,Trái phiếu đáo hạn
490,CSTB2012,VN0CSTB20121,Chứng quyền STB-HSC-MET01,Chứng quyền,HOSE,02/04/2021,Chứng quyền đáo hạn
491,CVPB2012,VN0CVPB20123,Chứng quyền VPB-HSC-MET04,Chứng quyền,HOSE,02/04/2021,Hủy niêm yết do đáo hạn chứng quyền
492,CMSN2011,VN0CMSN20113,Chứng quyền MSN-HSC-MET03,Chứng quyền,HOSE,02/04/2021,Hủy niêm yết do đáo hạn
493,CTCB2010,VN0CTCB20109,Chứng quyền TCB-HSC-MET04,Chứng quyền,HOSE,02/04/2021,Hủy niêm yết do đáo hạn
494,CVRE2012,VN0CVRE20123,Chứng quyền VRE-HSC-MET05,Chứng quyền,HOSE,02/04/2021,Hủy niêm yết do đáo hạn chứng quyền
495,CVHM2009,VN0CVHM20093,Chứng quyền VHM-HSC-MET03,Chứng quyền,HOSE,02/04/2021,Chứng quyền đáo hạn
496,CHPG2021,VN0CHPG20212,Chứng quyền HPG-HSC-MET04,Chứng quyền,HOSE,02/04/2021,Hủy niêm yết do đáo hạn
497,CFPT2011,VN0CFPT20110,Chứng quyền FPT-HSC-MET05,Chứng quyền,HOSE,02/04/2021,Chứng quyền đáo hạn
498,CVIC2006,VN0CVIC20068,Chứng quyền VIC-HSC-MET01,Chứng quyền,HOSE,02/04/2021,Hủy niêm yết do đáo hạn chứng quyền
499,CMBB2009,VN0CMBB20098,Chứng quyền MBB-HSC-MET06,Chứng quyền,HOSE,02/04/2021,Hủy niêm yết do đáo hạn
500,CVNM2013,VN0CVNM20133,Chứng quyền VNM-HSC-MET05,Chứng quyền,HOSE,02/04/2021,Hủy niêm yết do đáo hạn chứng quyền
501,CPNJ2009,VN0CPNJ20099,Chứng quyền PNJ-HSC-MET03,Chứng quyền,HOSE,02/04/2021,Chứng quyền đáo hạn
502,CFPT2010,VN0CFPT20102,Chứng quyền.FPT.VND.M.CA.T.2020.02,Chứng quyền,HOSE,31/03/2021,Chứng quyền đáo hạn
503,CMBB2008,VN0CMBB20080,Chứng quyền.MBB.VND.M.CA.T.2020.02,Chứng quyền,HOSE,31/03/2021,Chứng quyền đáo hạn
504,CVPB2010,VN0CVPB20107,Chứng quyền.VPB.VND.M.CA.T.2020.01,Chứng quyền,HOSE,31/03/2021,Hủy niêm yết do đáo hạn
505,CVNM2012,VN0CVNM20125,Chứng quyền.VNM.VND.M.CA.T.2020.01,Chứng quyền,HOSE,31/03/2021,Hủy niêm yết do đáo hạn
506,CTCB2009,VN0CTCB20091,Chứng quyền.TCB.VND.M.CA.T.2020.01,Chứng quyền,HOSE,31/03/2021,Hủy niêm yết do đáo hạn chứng quyền
507,CSTB2011,VN0CSTB20113,Chứng quyền.STB.VND.M.CA.T.2020.01,Chứng quyền,HOSE,31/03/2021,Hủy niêm yết do đáo hạn chứng quyền
508,CMSN2010,VN0CMSN20105,Chứng quyền.MSN.VND.M.CA.T.2020.01,Chứng quyền,HOSE,31/03/2021,Chứng quyền đáo hạn
509,TSM,VN000000TSM1,Cổ phiếu Công ty Cổ phần Xi măng Tiên Sơn Hà Tây,Cổ phiếu,Đại chúng chưa niêm yết,31/03/2021,Công ty cổ phần Xi măng Tiên Sơn Hà Tây không đáp ứng điều kiện là Công ty đại chúng.
510,VIC11901,VN0VIC119012,Trái phiếu VIC122020,Trái phiếu,HOSE,25/03/2021,Trái phiếu đến thời gian đáo hạn
511,BHV,VN000000BHV3,Cổ phiếu Công ty cổ phần Bá Hiến,Cổ phiếu,UpCOM,25/03/2021,Công ty cổ phần Bá Hiến không còn đáp ứng điều kiện là Công ty đại chúng.
512,TD1621452,VNTD16214528,Trái phiếu Chính phủ đấu thầu đợt 30/2016,Trái phiếu,Trái phiếu chuyên biệt,24/03/2021,Trái phiếu đáo hạn
513,TP4A0806,VN0TP4A08066,Trái phiếu Chính phủ BLPH đợt 8/2006,Trái phiếu,Trái phiếu chuyên biệt,24/03/2021,Trái phiếu đáo hạn
514,CFPT2015,VN0CFPT20151,Chứng quyền FPT/5M/SSI/C/EU/Cash-08,Chứng quyền,HOSE,23/03/2021,Hủy niêm yết do đáo hạn
515,MDN,VN000000MDN6,Cổ phiếu Công ty cổ phần Tổng Công ty May Đồng Nai,Cổ phiếu,UpCOM,16/03/2021,Cổ phiếu Công ty cổ phần Tổng công ty May Đồng Nai không đáp ứng điều kiện là Công ty đại chúng.
516,CSTB2013,VN0CSTB20139,Chứng quyền STB/5M/SSI/C/EU/Cash-08,Chứng quyền,HOSE,15/03/2021,Hủy niêm yết do đáo hạn
517,CMBB2011,VN0CMBB20114,Chứng quyền MBB/5M/SSI/C/EU/Cash-08,Chứng quyền,HOSE,15/03/2021,Chứng quyền đáo hạn
518,CNVL2002,VN0CNVL20028,Chứng quyền.NVL.KIS.M.CA.T.03,Chứng quyền,HOSE,11/03/2021,Hủy niêm yết do đáo hạn
519,CVNM2007,VN0CVNM20075,Chứng quyền.VNM.KIS.M.CA.T.05,Chứng quyền,HOSE,11/03/2021,Hủy niêm yết do đáo hạn chứng quyền
520,TD1621451,VNTD16214510,Trái phiếu Chính phủ đấu thầu đợt 24/2016,Trái phiếu,Trái phiếu chuyên biệt,10/03/2021,Trái phiếu đáo hạn
521,TP1A0906,VN0TP1A09060,Trái phiếu Chính phủ BLPH đợt 9/2006,Trái phiếu,Trái phiếu chuyên biệt,09/03/2021,Trái phiếu đáo hạn
522,TD1621450,VNTD16214502,Trái phiếu Chính phủ đấu thầu đợt 20/2016,Trái phiếu,Trái phiếu chuyên biệt,03/03/2021,Trái phiếu đáo hạn
523,CMSN2014,VN0CMSN20147,Chứng quyền.MSN.KIS.M.CA.T.08,Chứng quyền,HOSE,03/03/2021,Hủy niêm yết do đáo hạn chứng quyền
524,CSTB2015,VN0CSTB20154,Chứng quyền.STB.KIS.M.CA.T.09,Chứng quyền,HOSE,03/03/2021,Hủy niêm yết do đáo hạn
525,CVIC2007,VN0CVIC20076,Chứng quyền.VIC.KIS.M.CA.T.08,Chứng quyền,HOSE,03/03/2021,Chứng quyền đáo hạn
526,CVNM2016,VN0CVNM20166,Chứng quyền.VNM.KIS.M.CA.T.07,Chứng quyền,HOSE,03/03/2021,Hủy niêm yết do đáo hạn chứng quyền
527,CVNM2015,VN0CVNM20158,Chứng quyền CVNM03MBS20CE,Chứng quyền,HOSE,02/03/2021,Hủy niêm yết do đáo hạn chứng quyền
528,CMSN2013,VN0CMSN20139,Chứng quyền CMSN03MBS20CE,Chứng quyền,HOSE,02/03/2021,Hủy niêm yết do đáo hạn
529,CHPG2015,VN0CHPG20154,Chứng quyền HPG/7.5M/SSI/C/EU/Cash-06,Chứng quyền,HOSE,02/03/2021,Hủy niêm yết do đáo hạn
530,TD1621449,VNTD16214494,Trái phiếu Chính phủ đấu thầu đợt 19/2016,Trái phiếu,Trái phiếu chuyên biệt,26/02/2021,Trái phiếu đáo hạn
531,TP4A1606,VN0TP4A16069,Trái phiếu Chính phủ BLPH đợt 16/2006,Trái phiếu,Trái phiếu chuyên biệt,26/02/2021,
532,TD1621448,VNTD16214486,Trái phiếu Chính phủ đấu thầu đợt 17/2016,Trái phiếu,Trái phiếu chuyên biệt,25/02/2021,Trái phiếu đáo hạn
533,TP4A0706,VN0TP4A07068,Trái phiếu Chính phủ BLPH đợt 7/2006,Trái phiếu,Trái phiếu chuyên biệt,23/02/2021,
534,TD1121021,VNTD11210216,Trái phiếu Chính phủ đấu thầu đợt 08/2011,Trái phiếu,Trái phiếu chuyên biệt,22/02/2021,Trái phiếu đáo hạn
535,CHPG2017,VN0CHPG20170,Chứng quyền.HPG.KIS.M.CA.T.08,Chứng quyền,HOSE,19/02/2021,Hủy niêm yết do đáo hạn
536,CVRE2010,VN0CVRE20107,Chứng quyền.VRE.KIS.M.CA.T.08,Chứng quyền,HOSE,19/02/2021,Hủy niêm yết do đáo hạn
537,CTCH2002,VN0CTCH20023,Chứng quyền.TCH.KIS.M.CA.T.01,Chứng quyền,HOSE,19/02/2021,Hủy niêm yết do đáo hạn chứng quyền
538,CKDH2003,VN0CKDH20038,Chứng quyền.KDH.KIS.M.CA.T.01,Chứng quyền,HOSE,19/02/2021,Hủy niêm yết do đáo hạn
539,TD1621447,VNTD16214478,Trái phiếu Chính phủ đấu thầu đợt 15/2016,Trái phiếu,Trái phiếu chuyên biệt,18/02/2021,Trái phiếu đáo hạn
540,CTCB2011,VN0CTCB20117,Chứng quyền CTCB03MBS20CE,Chứng quyền,HOSE,17/02/2021,Hủy niêm yết do đáo hạn chứng quyền
541,CPNJ2010,VN0CPNJ20107,Chứng quyền CPNJ03MBS20CE,Chứng quyền,HOSE,17/02/2021,Chứng quyền đáo hạn
542,CVPB2014,VN0CVPB20149,Chứng quyền CVPB03MBS20CE,Chứng quyền,HOSE,17/02/2021,Hủy niêm yết do đáo hạn
543,CMWG2012,VN0CMWG20127,Chứng quyền MWG/5M/SSI/C/EU/Cash-07,Chứng quyền,HOSE,09/02/2021,Hủy niêm yết do đáo hạn chứng quyền
