STT,Mã chứng khoán,Mã ISIN,Tên chứng khoán,Sàn chuyển đi,Sàn chuyển đến,Ngày hiệu lực,Tiêu đề
99,VCG,VN000000VCG3,Cổ phiếu Tổng CTCP Xuất nhập khẩu và Xây dựng Việt Nam,HNX,HOSE,24/12/2020,"VCG: Thông báo về việc thực hiện chuyển dữ liệu đăng ký, lưu ký cổ phiếu VCG từ thị trường niêm yết HNX sang thị trường niêm yết HOSE"
100,DTK,VN000000 DTK7,Cổ phiếu Tổng công ty Điện lực TKV - CTCP,UpCOM,HNX,21/12/2020,"DTK: Thông báo về việc thực hiện chuyển dữ liệu đăng ký, lưu ký cổ phiếu DTK từ thị trường đăng ký giao dịch tại UPCOM sang thị trường niêm yết tại HNX"
101,ACB,VN000000ACB8,Cổ phiếu Ngân hàng TMCP Á Châu,HNX,HOSE,04/12/2020,"ACB: Thông báo về việc thực hiện chuyển dữ liệu đăng ký, lưu ký cổ phiếu ACB từ thị trường HNX sang thị trường HOSE"
102,HD6,VN000000HD69,Cổ phiếu Công ty cổ phần Đầu tư và Phát triển Nhà số 6 Hà Nội,Đại chúng chưa niêm yết,UpCOM,20/11/2020,"HD6: Thông báo về việc thực hiện chuyển dữ liệu đăng ký, lưu ký chứng khoán HD6 từ thị trường Đại chúng chưa niêm yết sang thị trường đăng ký giao dịch (Upcom) tại Sở Giao dịch Chứng khoán Hà Nội (HNX)"
103,VIB,VN000000VIB1,Cổ phiếu Ngân hàng Thương mại cổ phần Quốc tế Việt Nam,UpCOM,HOSE,09/11/2020,"VIB: Thông báo về việc chuyển dữ liệu đăng ký, lưu ký chứng khoán VIB từ thị trường đăng ký giao dịch tại HNX sang thị trường niêm yết tại HOSE"
104,VE9,VN000000VE94,Cổ phiếu CTCP đầu tư và xây dựng VNECO 9,HNX,UpCOM,11/11/2020,"VE9: Chuyển dữ liệu đăng ký, lưu ký cổ phiếu VE9 từ thị trường HNX sang thị trường UPCOM"
105,LPB,VN000000LPB7,Cổ phiếu Ngân hàng Thương mại cổ phần Bưu điện Liên Việt,UpCOM,HOSE,28/10/2020,"LPB: Thông báo về việc chuyển dữ liệu đăng ký, lưu ký chứng khoán LPB từ thị trường đăng ký giao dịch tại HNX sang thị trường niêm yết tại HOSE"
106,MVB,VN000000MVB3,Cổ phiếu Tổng Công ty Công nghiệp mỏ Việt Bắc TKV - CTCP,UpCOM,HNX,21/10/2020,"MVB: Chuyển dữ liệu đăng ký, lưu ký cổ phiếu MVB từ thị trường đăng ký giao dịch tại HNX sang thị trường niêm yết tại HNX"
107,DC4,VN000000DC49,Cổ phiếu Công ty Cổ phần Xây dựng DIC Holdings,HNX,HOSE,14/10/2020,"DC4: Chuyển dữ liệu đăng ký, lưu ký cổ phiếu DC4 từ thị trường HNX sang thị trường HOSE"
108,SGB,VN000000SGB1,Cổ phiếu Ngân hàng Thương mại cổ phần Sài Gòn Công thương,Đại chúng chưa niêm yết,UpCOM,07/10/2020,"SGB: Thông báo về thực hiện chuyển dữ liệu đăng ký, lưu ký cổ phiếu SGB từ thị trường DCCNY sang thị trường UPCOM"
109,TSP119001,VNTSP1190010,Trái phiếu Công ty cổ phần Điện Mặt trời Trung Nam,HNX,Đại chúng chưa niêm yết,06/10/2020,"TSP119001: Thông báo về thực hiện chuyển dữ liệu đăng ký, lưu ký trái phiếu TSP119001 từ thị trường HNX sang thị trường ĐCCNY"
110,QNC,VN000000QNC9,Cổ phiếu Công ty Cổ phần Xi măng và Xây dựng Quảng Ninh,HNX,UpCOM,,"QNC: Chuyển dữ liệu đăng ký, lưu ký cổ phiếu QNC từ thị trường HNX sang thị trường UPCOM"
111,PAS,VN000000PAS4,Cổ phiếu Công ty cổ phần Quốc tế Phương Anh,HOSE,UpCOM,17/09/2020,"PAS: Chuyển dữ liệu đăng ký, lưu ký cổ phiếu PAS từ thị trường niêm yết HOSE sang thị trường đăng ký giao dịch (Upcom) tại Sở Giao dịch Chứng khoán Hà Nội (HNX)"
112,DBT,VN000000DBT6,Cổ phiếu CTCP Dược phẩm Bến Tre,HNX,HOSE,22/10/2020,"DBT: Thông báo về việc thực hiện chuyển dữ liệu đăng ký, lưu ký cổ phiếu DBT từ thị trường HNX sang thị trường HOSE"
113,TDP,VN000000TDP6,Cổ phiếu Công ty cổ phần Thuận Đức,UpCOM,HOSE,31/08/2020,"TDP: Chuyển dữ liệu đăng ký, lưu ký cổ phiếu TDP từ thị trường giao dịch UPCOM sang thị trường niêm yết HOSE"
114,BCM,VN000000BCM3,Cổ phiếu Tổng Công ty Đầu tư và Phát triển Công nghiệp – CTCP,UpCOM,HOSE,24/08/2020,"BCM: Thông báo về việc thực hiện chuyển dữ liệu đăng ký, lưu ký cổ phiếu BCM từ thị trường UPCOM sang thị trường HOSE"
115,WTN,VN000000WTN1,Cổ phiếu Công ty cổ phần Cấp thoát nước Tây Ninh,UpCOM,Đại chúng chưa niêm yết,08/09/2020,"WTN: Chuyển dữ liệu đăng ký, lưu ký cổ phiếu WTN từ sàn UPCOM sang sàn ĐCCNY"
116,MSC,VN000000MSC7,Cổ phiếu Công ty cổ phần Dịch vụ Phú Nhuận,HNX,Đại chúng chưa niêm yết,12/08/2020,"MSC: Thông báo về việc chuyển dữ liệu đăng ký, lưu ký cổ phiếu MSC từ thị trường HNX sang sàn ĐCCNY"
117,HVG,VN000000HVG2,Cổ phiếu Công ty cổ phần Hùng Vương,HOSE,UpCOM,05/08/2020,"HVG: Thông báo về việc chuyển dữ liệu đăng ký, lưu ký cổ phiếu HVG từ thị trường HOSE sang thị trường UPCOM"
118,DGC,VN000000DGC1,Cổ phiếu Công ty cổ phần Tập đoàn Hóa chất Đức Giang,HNX,HOSE,22/07/2020,"DGC: Chuyển dữ liệu đăng ký, lưu ký cổ phiếu DGC từ thị trường niêm yết HNX sang thị trường niêm yết HOSE"
119,DIC,VN000000DIC7,Cổ phiếu Công ty Cổ phần Đầu tư và Thương mại DIC,HOSE,UpCOM,12/08/2020,"DIC: Chuyển dữ liệu đăng ký, lưu ký cổ phiếu DIC từ thị trường HOSE sang thị trường UPCOM"
120,HTT,VN000000HTT9,Cổ phiếu Công ty cổ phần Thương mại Hà Tây,HOSE,UpCOM,19/06/2020,"HTT: Chuyển dữ liệu đăng ký, lưu ký cổ phiếu HTT từ thị trường niêm yết HOSE sang thị trường UPCOM"
121,FDT,VN000000FDT7,Cổ phiếu Công ty Cổ phần Fiditour,HNX,UpCOM,,"FDT: Chuyển dữ liệu đăng ký, lưu ký cổ phiếu FDT từ thị trường HNX sang thị trường UPCOM"
122,LMH,VN000000LMH1,Cổ phiếu Công ty cổ phần Landmark Holding,HOSE,UpCOM,,"LMH: Chuyển dữ liệu đăng ký, lưu ký cổ phiếu LMH từ thị trường HOSE sang thị trường UPCOM"
123,HNM,VN000000HNM7,Cổ phiếu Công ty Cổ phần Sữa Hà Nội,HNX,UpCOM,16/06/2020,"HNM: Chuyển dữ liệu đăng ký, lưu ký cổ phiếu HNM từ thị trường HNX sang thị trường UPCOM"
124,KSK,VN000000KSK4,Cổ phiếu Công ty cổ phần Khoáng sản luyện kim màu,HNX,UpCOM,01/06/2020,"KSK: Chuyển dữ liệu đăng ký, lưu ký cổ phiếu KSK từ thị trường HNX sang thị trường UPCOM"
125,PVX,VN000000PVX0,Cổ phiếu Tổng Công ty Cổ phần Xây lắp Dầu khí Việt Nam,HNX,UpCOM,11/06/2020,"PVX: Chuyển dữ liệu đăng ký, lưu ký cổ phiếu PVX từ thị trường niêm yết HNX sang thị trường UPCOM"
126,DNY,VN000000DNY1,Cổ phiếu Công ty cổ phần Thép DANA - Ý,HNX,UpCOM,09/06/2020,"DNY: Chuyển dữ liệu đăng ký, lưu ký cổ phiếu DNY từ thị trường HNX sang thị trường UPCOM"
127,PVE,VN000000PVE0,Cổ phiếu Tổng Công ty Tư vấn Thiết kế Dầu khí – Công ty cổ phần,HNX,UpCOM,01/06/2020,"PVE: Chuyển dữ liệu đăng ký, lưu ký cổ phiếu PVE từ thị trường HNX sang thị trường UPCOM"
128,MEC,VN000000MEC7,Cổ phiếu Công ty cổ phần Cơ khí - Lắp máy Sông Đà,HNX,UpCOM,28/05/2020,"MEC: Chuyển dữ liệu đăng ký, lưu ký cổ phiếu MEC từ thị trường niêm yết tại Sở Giao dịch Chứng khoán Hà Nội (HNX) sang thị trường đăng ký giao dịch tại Sở Giao dịch Chứng khoán Hà Nội (UPCOM)"
129,DID,VN000000DID5,Cổ phiếu CTCP DIC - Đồng Tiến,HNX,UpCOM,,"DID: Chuyển dữ liệu đăng ký, lưu ký cổ phiếu DID từ thị trường HNX sang thị trường UPCOM"
130,SPP,VN000000SPP2,Cổ phiếu Công ty Cổ phần Bao bì nhựa Sài Gòn,HNX,UpCOM,26/05/2020,"SPP: Chuyển dữ liệu đăng ký, lưu ký cổ phiếu SPP từ thị trường HNX sang thị trường UPCOM"
131,SCL,VN000000SCL9,Cổ phiếu Công ty cổ phần Sông Đà Cao Cường,HNX,UpCOM,12/05/2020,"SCL: Thông báo về việc thực hiện chuyển dữ liệu đăng ký, lưu ký từ thị trường HNX sang thị trường UPCOM"
132,CT6,VN000000CT66,Cổ phiếu Công ty Cổ phần Công trình 6,HNX,UpCOM,11/05/2020,"CT6: Chuyển dữ liệu đăng ký, lưu ký cổ phiếu CT6 từ thị trường niêm yết tại Sở Giao dịch Chứng khoán Hà Nội (HNX) sang thị trường đăng ký giao dịch tại Sở Giao dịch Chứng khoán Hà Nội (UPCOM)"
133,VCR,VN000000VCR0,Cổ phiếu Công ty cổ phần Đầu tư và Phát triển Du lịch Vinaconex,HNX,UpCOM,07/05/2020,"VCR: Chuyển dữ liệu đăng ký, lưu ký cổ phiếu VCR từ thị trường niêm yết tại HNX sang thị trường đăng ký giao dịch tại UPCOM"
134,MED,VN000000MED5,Cổ phiếu Công ty cổ phần Dược Trung ương Mediplantex,Đại chúng chưa niêm yết,HNX,16/03/2020,"MED: Chuyển dữ liệu đăng ký, lưu ký chứng khoán MED từ thị trường Đại chúng chưa niêm yết sang niêm yết tại Sở Giao dịch Chứng khoán Hà Nội (HNX)"
135,GVR,VN000000GVR1,Cổ phiếu Tập đoàn Công nghiệp Cao su Việt Nam – Công ty cổ phần,UpCOM,HOSE,12/03/2020,"GVR: Chuyển dữ liệu đăng ký, lưu ký cổ phiếu GVR từ thị trường UPCOM sang thị trường HOSE"
136,CKG,VN000000CKG6,Cổ phiếu Công ty cổ phần Tập đoàn Tư vấn Đầu tư Xây dựng Kiên Giang,Đại chúng chưa niêm yết,HOSE,28/02/2020,"CKG: Chuyển dữ liệu đăng ký, lưu ký cổ phiếu CKG từ thị trường ĐCCNY sang thị trường HOSE"
137,HVA,VN000000HVA5,Cổ phiếu Công ty cổ phần Đầu tư HVA,HNX,UpCOM,11/03/2020,"HVA: Chuyển dữ liệu đăng ký, lưu ký cổ phiếu HVA từ thị trường HNX sang thị trường UPCOM"
138,AGF,VN000000AGF0,cổ phiếu CTCP Xuất nhập khẩu Thủy sản An Giang,HOSE,UpCOM,19/02/2020,"AGF: Chuyển dữ liệu đăng ký, lưu ký cổ phiếu AGF từ thị trường HOSE sang thị trường UPCOM"
139,VIF,VN000000VIF2,Cổ phiếu Tổng công ty Lâm nghiệp Việt Nam - Công ty cổ phần,UpCOM,HNX,,"VIF: Chuyển dữ liệu đăng ký, lưu ký cổ phiếu VIF từ thị trường đăng ký giao dịch tại HNX sang thị trường niêm yết tại HNX"
140,KLM,VN000000KLM5,Cổ phiếu Công ty cổ phần Kim loại màu Nghệ Tĩnh,Đại chúng chưa niêm yết,UpCOM,27/12/2019,"KLM: Chuyển dữ liệu đăng ký, lưu ký cổ phiếu KLM từ thị trường Đại chúng chưa niêm yết sang thị trường đăng ký giao dịch (Upcom) tại Sở Giao dịch Chứng khoán Hà Nội (HNX)"
141,VPK,VN000000VPK7,Cổ phiếu Công ty Cổ phần Bao bì Dầu thực vật,HOSE,UpCOM,15/01/2020,"VPK: Chuyển dữ liệu đăng ký, lưu ký cổ phiếu VPK từ thị trường HOSE sang thị trường UPCOM"
142,HCB,VN000000HCB3,Cổ phiếu CTCP Dệt may 29/3,Đại chúng chưa niêm yết,UpCOM,16/12/2019,"HCB: Chuyển dữ liệu đăng ký, lưu ký chứng khoán HCB từ thị trường Đại chúng chưa niêm yết sang thị trường đăng ký giao dịch (Upcom) tại Sở Giao dịch Chứng khoán Hà Nội (HNX)"
143,LGM,VN000000LGM3,Cổ phiếu Công ty cổ phần Giầy da và May mặc Xuất khẩu (LEGAMEX),Đại chúng chưa niêm yết,UpCOM,13/12/2019,"LGM: Chuyển dữ liệu đăng ký, lưu ký cổ phiếu LGM từ thị trường DCCNY sang thị trường UPCOM"
144,NHH,VN000000NHH7,Cổ phiếu Công ty cổ phần Nhựa Hà Nội,UpCOM,HOSE,09/12/2019,"NHH: Chuyển dữ liệu đăng ký, lưu ký cổ phiếu NHH từ thị trường đăng ký giao dịch Upcom tại HNX sang thị trường niêm yết tại HOSE"
145,IDC,VN000000IDC7,Cổ phiếu Tổng công ty IDICO - CTCP,UpCOM,HNX,05/12/2019,"IDC: Chuyển dữ liệu đăng ký, lưu ký cổ phiếu IDC từ thị trường UPCOM sang thị trường HNX"
146,SGO,VN000000SGO4,Cổ phiếu Công ty cổ phần Dầu thực vật Sài Gòn,HNX,UpCOM,24/12/2019,"SGO: Chuyển dữ liệu đăng ký, lưu ký cổ phiếu SGO từ thị trường HNX sang thị trường UPCOM"
147,PBC,VN000000PBC6,Cổ phiếu Công ty cổ phần Dược phẩm Trung ương I-Pharbaco,Đại chúng chưa niêm yết,UpCOM,,"PBC: Chuyển dữ liệu đăng ký, lưu ký chứng khoán PBC từ thị trường Đại chúng chưa niêm yết sang thị trường đăng ký giao dịch (Upcom) tại Sở Giao dịch Chứng khoán Hà Nội (HNX)"
148,CTA,VN000000CTA0,Cổ phiếu Công ty Cổ phần Vinavico,HNX,UpCOM,,"CTA: Chuyển dữ liệu đăng ký, lưu ký cổ phiếu CTA từ thị trường niêm yết tại Sở Giao dịch Chứng khoán Hà Nội (HNX) sang thị trường đăng ký giao dịch tại Sở Giao dịch Chứng khoán Hà Nội(UPCOM)"
149,HVB,VN000000HVB3,Cổ phiếu Công ty cổ phần bảo hiểm Hùng Vương,UpCOM,Đại chúng chưa niêm yết,01/11/2019,"HVB: Chuyển dữ liệu đăng ký, lưu ký cổ phiếu từ thị trường UPCOM sang thị trường ĐCCNY"
150,NDF,VN000000NDF0,Cổ phiếu Công ty cổ phần Chế biến thực phẩm nông sản xuất khẩu Nam Định,HNX,UpCOM,13/11/2019,"NDF: Chuyển dữ liệu đăng ký, lưu ký cổ phiếu NDF từ thị trường HNX sang thị trường UPCOM"
151,DFS,VN000000DFS9,Cổ phiếu Công ty cổ phần Chế biến Xuất nhập khẩu Nông sản Thực phẩm Đồng Nai,Đại chúng chưa niêm yết,UpCOM,16/10/2019,"DFS: Chuyển dữ liệu đăng ký, lưu ký cổ phiếu DFS từ thị trường Đại chúng chưa niêm yết sang thị trường UPCOM"
152,PTV,VN000000PTV8,Cổ phiếu Công ty cổ phần Thương mại Dầu khí,Đại chúng chưa niêm yết,UpCOM,09/10/2019,"PTV: Chuyển dữ liệu đăng ký, lưu ký cổ phiếu PTV từ thị trường Đại chúng chưa niêm yết sang thị trường UPCOM"
153,KSH,VN000000KSH0,Cổ phiếu Công ty cổ phần DAMAC GLS,HOSE,UpCOM,11/09/2019,"KSH: Chuyển dữ liệu đăng ký, lưu ký cổ phiếu KSH từ thị trường HOSE sang thị trường UPCOM"
154,GEG,VN000000GEG0,Cổ phiếu Công ty cổ phần Điện Gia Lai,UpCOM,HOSE,13/09/2019,"GEG: Thông báo về việc chốt dữ liệu đăng ký, lưu ký đối với chứng khoán chuyển sàn từ thị trường đăng ký giao dịch tại HNX sang thị trường niêm yết tại HOSE"
155,MEG,VN000000MEG8,Cổ phiếu Công ty cổ phần Megram,Đại chúng chưa niêm yết,UpCOM,06/09/2019,"MEG: Chuyển dữ liệu đăng ký, lưu ký chứng khoán từ thị trường Đại chúng chưa niêm yết sang thị trường đăng ký giao dịch (Upcom) tại Sở Giao dịch Chứng khoán Hà Nội (HNX)"
156,RVN,VN000000RVN7,Cổ phiếu Công ty cổ phần Roxy Việt Nam,UpCOM,Đại chúng chưa niêm yết,05/09/2019,"RVN: Chuyển dữ liệu đăng ký, lưu ký cổ phiếu RVN từ thị trường UPCOM sang thị trường ĐCCNY"
157,KAC,VN000000KAC9,Cổ phiếu Công ty cổ phần Đầu tư Địa ốc Khang An,HOSE,UpCOM,06/09/2019,"KAC: Chuyển dữ liệu đăng ký, lưu ký cổ phiếu KAC từ thị trường HOSE sang thị trường UPCOM"
158,PIA,VN000000PIA5,Cổ phiếu Công ty cổ phần Tin học Viễn thông Petrolimex,UpCOM,HNX,03/09/2019,"PIA: Chuyển dữ liệu đăng ký, lưu ký cổ phiếu PIA từ thị trường đăng ký giao dịch UPCoM sang thị trường niêm yết tại HNX"
159,HLG,VN000000HLG3,Cổ phiếu CTCP Tập đoàn Hoàng Long,HOSE,UpCOM,12/09/2019,"HLG: Chuyển dữ liệu đăng ký, lưu ký cổ phiếu HLG từ thị trường HOSE sang thị trường UPCOM"
160,VTR,VN000000VTR4,Cổ phiếu Công ty cổ phần Du lịch và Tiếp thị Giao thông Vận tải Việt Nam - Vietravel,Đại chúng chưa niêm yết,UpCOM,07/08/2019,"VTR: Thông báo về việc chốt dữ liệu đăng ký, lưu ký đối với chứng khoán chuyển sàn giao dịch từ thị trường ĐCCNY sang thị trường UPCOM"
161,VBB,VN000000VBB6,Cổ phiếu Ngân hàng Thương mại cổ phần Việt Nam Thương Tín,Đại chúng chưa niêm yết,UpCOM,29/07/2019,"VBB: Chuyển dữ liệu đăng ký, lưu ký cổ phiếu VBB từ thị trường ĐCCNY sang thị trường UPCOM"
162,PHS,VN000000PHS9,Cổ phiếu Công ty cổ phần Chứng khoán Phú Hưng,Đại chúng chưa niêm yết,UpCOM,25/07/2019,"PHS: chuyển dữ liệu đăng ký, lưu ký cổ phiếu PHS từ thị trường Đại chúng chưa niêm yết sang thị trường UPCOM"
163,DBC,VN000000DBC2,Cổ phiếu Công ty Cổ phần Tập đoàn DABACO Việt Nam,HNX,HOSE,22/07/2019,"DBC: Chuyển dữ liệu đăng ký, lưu ký cổ phiếu DBC từ thị trường niêm yết HNX sang thị trường niêm yết HOSE"
164,NSL,VN000000NSL6,Cổ phiếu Công ty cổ phần Cấp nước Sơn La,HNX,UpCOM,17/07/2019,"NSL: Chuyển dữ liệu đăng ký, lưu ký cổ phiếu NSL từ thị trường niêm yết HNX sang thị trường đăng ký giao dịch (Upcom) tại Sở Giao dịch Chứng khoán Hà Nội (HNX)"
165,KOS,VN000000KOS6,Cổ phiếu Công ty cổ phần Kosy,UpCOM,HOSE,17/07/2019,"KOS: Chuyển dữ liệu đăng ký, lưu ký cổ phiếu KOS từ thị trường đăng ký giao dịch tại HNX sang thị trường niêm yết tại HOSE"
166,TIE,VN000000TIE9,Cổ phiếu Công ty cổ phần TIE,HOSE,UpCOM,05/08/2019,"TIE: Thông báo về việc chuyển dữ liệu đăng ký, lưu ký đối với chứng khoán chuyển sàn giao dịch từ thị trường HOSE sang thị trường UPCOM"
167,NTF,VN000000NTF6,Cổ phiếu Công ty cổ phần Dược - Vật tư Y tế Nghệ An,Đại chúng chưa niêm yết,UpCOM,02/07/2019,"NTF: Chuyển dữ liệu đăng ký, lưu ký chứng khoán NTF từ thị trường Đại chúng chưa niêm yết sang thị trường đăng ký giao dịch (Upcom) tại Sở Giao dịch Chứng khoán Hà Nội (HNX)"
168,XMC,VN000000XMC7,Cổ phiếu Công ty cổ phần Đầu tư và Xây dựng Xuân Mai,Đại chúng chưa niêm yết,UpCOM,27/06/2019,"XMC: Chuyển dữ liệu đăng ký, lưu ký chứng khoán XMC từ thị trường Đại chúng chưa niêm yết sang thị trường đăng ký giao dịch (Upcom) tại Sở Giao dịch Chứng khoán Hà Nội (HNX)"
169,EVS,VN000000EVS4,Cổ phiếu Công ty cổ phần Chứng khoán Everest,UpCOM,HNX,18/06/2019,"EVS: Chuyển dữ liệu đăng ký, lưu ký cổ phiếu EVS từ thị trường đăng ký giao dịch tại UPCOM sang thị trường niêm yết tại HNX"
170,ALV,VN000000ALV7,Cổ phiếu Công ty cổ phần Xây dựng ALVICO,HNX,UpCOM,18/06/2019,"ALV: Chuyển dữ liệu đăng ký, lưu ký cổ phiếu ALV từ thị trường HNX sang thị trường UPCOM"
171,LTC,VN000000LTC7,Cổ phiếu CTCP Điện nhẹ Viễn Thông,HNX,UpCOM,01/07/2019,"LTC: Chuyển dữ liệu đăng ký, lưu ký cổ phiếu LTC từ thị trường HNX sang thị trường UPCOM"
172,DLR,VN000000DLR9,Cổ phiếu CTCP Địa ốc Đà Lạt,HNX,UpCOM,28/05/2019,"DLR: Chuyển dữ liệu đăng ký, lưu ký cổ phiếu DLR từ thị trường HNX sang thị trường UPCOM"
173,KHB,VN000000KHB6,Cổ phiếu Công ty cổ phần khoáng sản Hoà Bình,HNX,UpCOM,20/06/2019,"KHB: Chuyển dữ liệu đăng ký, lưu ký cổ phiếu KHB từ thị trường HNX sang thị trường UPCOM"
174,ASA,VN000000ASA6,Cổ phiếu Công ty cổ phần ASA,HNX,UpCOM,17/06/2019,"ASA: Chuyển dữ liệu đăng ký, lưu ký cổ phiếu ASA từ thị trường HNX sang thị trường UPCOM"
175,TV2,VN000000TV22,Cổ phiếu CTCP Tư vấn Xây dựng điện 2,HNX,HOSE,31/05/2019,"TV2: Chuyển dữ liệu đăng ký, lưu ký cổ phiếu TV2 từ thị trường HNX sang thị trường HOSE"
176,SCJ,VN000000SCJ3,Cổ phiếu Công ty Cổ phần Xi măng Sài Sơn,HNX,UpCOM,22/05/2019,"SCJ: Chuyển dữ liệu đăng ký, lưu ký cổ phiếu SCJ từ thị trường niêm yết tại Sở Giao dịch Chứng khoán Hà Nội (HNX) sang thị trường đăng ký giao dịch tại Sở Giao dịch Chứng khoán Hà Nội (UPCOM)"
177,VGC,VN000000VGC3,Cổ phiếu Tổng Công ty Viglacera – CTCP,HNX,HOSE,22/05/2019,"VGC: Chuyển dữ liệu đăng ký, lưu ký cổ phiếu VGC từ thị trường niêm yết HNX sang thị trường niêm yết HOSE"
178,CMI,VN000000CMI8,Cổ phiếu Công ty cổ phần CMISTONE Việt Nam,HNX,UpCOM,10/06/2019,"CMI: Chuyển dữ liệu đăng ký, lưu ký cổ phiếu CMI từ thị trường HNX sang thị trường UPCOM"
179,SDD,VN000000SDD4,Cổ phiếu Công ty cổ phần Đầu tư và Xây lắp Sông Đà,HNX,UpCOM,06/06/2019,"SDD: Chuyển dữ liệu đăng ký, lưu ký cổ phiếu SDD từ thị trường niêm yết tại Sở Giao dịch Chứng khoán Hà Nội (HNX) sang thị trường đăng ký giao dịch tại Sở Giao dịch Chứng khoán Hà Nội (UPCOM)"
180,PVV,VN000000PVV4,Cổ phiếu Công ty cổ phần Vinaconex 39,HNX,UpCOM,28/05/2019,"PVV: Thông báo về việc chốt dữ liệu đăng ký, lưu ký đối với chứng khoán chuyển sàn giao dịch từ thị trường HNX sang thị trường UPCOM"
181,DCS,VN000000DCS6,Cổ phiếu Công ty Cổ phần Tập đoàn Đại Châu,HNX,UpCOM,28/05/2019,"DCS: Thông báo về việc chốt dữ liệu đăng ký, lưu ký đối với chứng khoán chuyển sàn từ thị trường niêm yết HNX sang thị trường UpCOM"
182,PCN,VN000000PCN1,Cổ phiếu Công ty cổ phần Hóa phẩm dầu khí DMC – Miền Bắc,HNX,UpCOM,27/05/2019,"PCN: Chuyển dữ liệu đăng ký, lưu ký cổ phiếu PCN từ thị trường niêm yết tại Sở Giao dịch Chứng khoán Hà Nội (HNX) sang thị trường đăng ký giao dịch tại Sở Giao dịch Chứng khoán Hà Nội(UpCOM)"
183,VHG,VN000000VHG2,Cổ Phiếu Công ty Cổ phần Đầu tư cao su Quảng Nam,HOSE,UpCOM,27/05/2019,"VHG: Chuyển dữ liệu đăng ký, lưu ký cổ phiếu VHG từ thị trường HOSE sang thị trường UPCOM"
184,HVN,VN000000HVN8,Cổ phiếu Tổng Công ty Hàng không Việt Nam - CTCP,UpCOM,HOSE,25/04/2019,"HVN: Chuyển dữ liệu đăng ký, lưu ký chứng khoán HVN từ thị trường đăng ký giao dịch tại HNX sang thị trường niêm yết tại HOSE"
185,PPI,VN000000PPI3,Cổ phiếu Công ty cổ phần Đầu tư và Phát triển Dự án Hạ tầng Thái Bình Dương,HOSE,UpCOM,22/05/2019,"PPI: Chuyển dữ liệu đăng ký, lưu ký cổ phiếu PPI từ thị trường HOSE sang thị trường UPCOM"
186,ICF,VN000000ICF2,Cổ phiếu Công ty Cổ phần Đầu tư Thương Mại Thủy Sản,HOSE,UpCOM,,"ICF: Chuyển dữ liệu đăng ký, lưu ký cổ phiếu ICF từ thị trường HOSE sang thị trường UPCOM"
187,MFS,VN000000MFS0,Cổ phiếu Công ty cổ phần Dịch vụ kỹ thuật Mobifone,Đại chúng chưa niêm yết,UpCOM,12/04/2019,"MFS: Chuyển dữ liệu đăng ký, lưu ký chứng khoán MFS từ thị trường Đại chúng chưa niêm yết sang thị trường đăng ký giao dịch (Upcom) tại Sở Giao dịch Chứng khoán Hà Nội (HNX)"
188,CMT,VN000000CMT5,Cổ phiếu Công ty cổ phần Công Nghệ Mạng và Truyền Thông,HOSE,UpCOM,22/04/2019,"CMT: Chuyển dữ liệu đăng ký, lưu ký cổ phiếu CMT từ thị trường HOSE sang thị trường UPCOM:"
189,SDE,VN000000SDE2,Cổ phiếu CTCP Kỹ thuật Điện Sông Đà,HNX,UpCOM,23/04/2019,"SDE: Chuyển dữ liệu đăng ký, lưu ký cổ phiếu SDE từ thị trường niêm yết HNX sang thị trường UpCOM"
190,ORS,VN000000ORS1,Cổ phiếu Công ty Cổ phần Chứng khoán Tiên Phong,HNX,UpCOM,12/04/2019,"ORS: Chuyển dữ liệu đăng ký, lưu ký cổ phiếu ORS từ thị trường HNX sang thị trường UPCOM"
191,SDP,VN000000SDP8,Cổ phiếu Công ty cổ phần SDP,HNX,UpCOM,25/02/2019,"SDP: Chuyển dữ liệu đăng ký, lưu ký cổ phiếu SDP từ thị trường HNX sang thị trường UPCOM"
192,TOW,VN000000TOW9,Cổ phiếu Công ty cổ phần Cấp nước Trà Nóc - Ô Môn,Đại chúng chưa niêm yết,UpCOM,22/01/2019,"TOW: chuyển dữ liệu đăng ký, lưu ký cổ phiếu TOW từ thị trường Đại chúng chưa niêm yết sang thị trường UPCOM"
193,PBT,VN000000PBT0,Cổ phiếu Công ty Cổ phần Nhà và Thương mại Dầu khí,Đại chúng chưa niêm yết,UpCOM,18/01/2019,"PBT: chuyển dữ liệu đăng ký, lưu ký cổ phiếu PBT từ thị trường Đại chúng chưa niêm yết sang thị trường đăng ký giao dịch (Upcom)"
194,POW,VN000000POW7,Cổ phiếu Tổng Công ty Điện lực Dầu khí Việt Nam – Công ty cổ phần,UpCOM,HOSE,07/01/2019,"POW: Chuyển dữ liệu đăng ký, lưu ký cổ phiếu POW từ sàn UPCOM sang thị trường niêm yết tại HOSE"
195,SZC,VN000000SZC9,Cổ phiếu Công ty cổ phần Sonadezi Châu Đức,Đại chúng chưa niêm yết,HOSE,03/01/2019,"SZC: Chuyển dữ liệu đăng ký, lưu ký cổ phiếu SZC từ thị trường DCCNY sang thị trường HOSE"
