STT,Mã chứng khoán,Mã ISIN,Tên chứng khoán,Sàn chuyển đi,Sàn chuyển đến,Ngày hiệu lực,Tiêu đề
11,PGV,VN000000PGV5,Cổ phiếu Tổng Công ty Phát điện 3 - Công ty cổ phần,UpCOM,HOSE,26/01/2022,"PGV: Chuyển dữ liệu đăng ký, lưu ký cổ phiếu PGV từ thị trường UPCOM sang thị trường HOSE"
12,SPC,VN000000SPC0,Cổ phiếu CTCP Bảo vệ thực vật Sài Gòn,UpCOM,HNX,21/01/2022,"SPC: Chuyển dữ liệu đăng ký, lưu ký cổ phiếu SPC từ thị trường UPCOM sang thị trường HNX"
13,TOT,VN000000TOT5,Cổ phiếu Công ty cổ phần Vận tải Transimex,UpCOM,HNX,12/01/2022,"TOT: Thông báo về việc thực hiện chuyển dữ liệu đăng ký, lưu ký cổ phiếu TOT từ thị trường UPCOM sang thị trường HNX"
14,HHV,VN000000HHV0,Cổ phiếu Công ty cổ phần Đầu tư hạ tầng giao thông Đèo Cả,UpCOM,HOSE,11/01/2022,"HHV: Thông báo về việc thực hiện chuyển dữ liệu đăng ký, lưu ký cổ phiếu HHV từ thị trường đăng ký giao dịch (Upcom) tại HNX sang thị trường niêm yết tại HOSE"
15,EVF,VN000000EVF1,Cổ phiếu Công ty Tài chính Cổ phần Điện lực,UpCOM,HOSE,04/01/2022,"EVF: Thông báo về việc thực hiện chuyển dữ liệu đăng ký, lưu ký cổ phiếu EVF từ thị trường đăng ký giao dịch (UPCOM) tại Sở Giao dịch Chứng khoán Hà Nội sang thị trường niêm yết tại Sở Giao dịch Chứng khoán Thành phố Hồ Chí Minh"
16,VAT,VN000000VAT0,Cổ phiếu Công ty cổ phần VT Vạn Xuân,HNX,UpCOM,28/12/2021,"VAT: Thông báo về việc thực hiện chuyển dữ liệu đăng ký, lưu ký cổ phiếu VAT từ thị trường niêm yết HNX sang thị trường UpCOM"
17,VRE12007,VN0VRE120074,Trái phiếu BONDVCR042025,HOSE,HNX,30/12/2021,"VRE12007: Chuyển dữ liệu đăng ký, lưu ký trái phiếu VRE12007 từ thị trường niêm yết HOSE sang thị trường niêm yết HNX"
18,VJC11912,VN0VJC119128,Trái phiếu Công ty cổ phần Hàng không Vietjet,HOSE,HNX,30/12/2021,"VJC11912: Chuyển dữ liệu đăng ký, lưu ký trái phiếu VJC11912 từ thị trường niêm yết HOSE sang thị trường niêm yết HNX như sau:"
19,KBC12006,VN0KBC120069,Trái phiếu Tổng Công ty Phát triển Đô thị Kinh Bắc - CTCP,HOSE,HNX,30/12/2021,"KBC12006: Chuyển dữ liệu đăng ký, lưu ký trái phiếu KBC12006 từ thị trường niêm yết HOSE sang thị trường niêm yết HNX"
20,NPM11805,VN0NPM118054,Trái phiếu NPM082023,HOSE,HNX,30/12/2021,"NPM11805: Chuyển dữ liệu đăng ký, lưu ký trái phiếu NPM11805 từ thị trường niêm yết HOSE sang thị trường niêm yết HNX"
21,NPM11907,VN0NPM119078,Trái phiếu NPMPO2022_01,HOSE,HNX,30/12/2021,"NPM11907: Chuyển dữ liệu đăng ký, lưu ký trái phiếu NPM11907 từ thị trường niêm yết HOSE sang thị trường niêm yết HNX như sau:"
