Keys,Values
Tên TCPH:,"
Công ty Cổ phần Chứng khoán KIS Việt Nam
"
Tên chứng quyền:,Chứng quyền.HDB.KIS.M.CA.T.07
Mã chứng quyền:,CHDB2102
Mã ISIN:,VN0CHDB21027
Mã chứng khoán cơ sở:,HDB
Tổ chức phát hành mã chứng khoán cơ sở:,Ngân hàng Thương mại cổ phần Phát triển thành phố Hồ Chí Minh
Loại chứng quyền:,Mua
Kiểu thực hiện:,Kiểu châu Âu
Phương thức thực hiện chứng quyền:,Bằng tiền
Thời hạn:,4 tháng
Ngày đáo hạn:,02/12/2021
Tỷ lệ chuyển đổi:,10:1
Giá thực hiện:,40.339  đồng
Giá phát hành lần đầu:,1.200  đồng/chứng quyền
Sàn giao dịch:,HOSE
Giấy chứng nhận đăng ký chứng quyền:,Số 93/2021/GCNCW-VSD do VSD cấp lần đầu ngày 24/08/2021
Số lượng chứng quyền đăng ký lần đầu tại VSD:,4.000.000 Chứng quyền
Giá trị chứng quyền đăng ký lần đầu tại VSD theo giá phát hành:,4.800.000.000 đồng
Tổng số chứng quyền đăng ký tại VSD:,4.000.000 chứng quyền
Hình thức đăng ký:,Ghi sổ
Nơi quản lý tại VSD:,Trụ sở chính
