Keys,Values
Tên TCPH:,"
Công ty Cổ phần Mạ kẽm công nghiệp Vingal-Vnsteel
"
Tên chứng khoán:,Cổ phiếu Công ty Cổ phần Mạ kẽm công nghiệp Vingal-Vnsteel
Mã chứng khoán:,VGL
Mã ISIN:,VN000000VGL4
Loại chứng khoán:,Cổ phiếu phổ thông
Mệnh giá:,10.000 đồng
Sàn giao dịch (*):,UpCOM
Giấy chứng nhận ĐKCK:,"Số 31/2016/GCNCP-VSD do VSD cấp ngày 21/04/2016, Số 31/2016/GCNCP-VSD-1 cấp thay đổi lần 1 ngày 27/05/2016"
Tổng số chứng khoán đăng ký:,9.325.155 Cổ phiếu
Tổng giá trị chứng khoán đăng ký:,93.251.550.000 đồng
Hình thức đăng ký:,Ghi sổ
Nơi quản lý tại VSD:,Chi nhánh
