Keys,Values
Tên TCPH:,"
Công ty cổ phần Đầu tư và Thương mại PFV
"
Tên chứng khoán:,Cổ phiếu Công ty cổ phần Đầu tư và Thương mại PFV
Mã chứng khoán:,PFV
Mã ISIN:,VN000000PFV7
Loại chứng khoán:,Cổ phiếu phổ thông
Mệnh giá:,10.000 đồng
Sàn giao dịch (*):,UpCOM
Giấy chứng nhận ĐKCK:,số 128/2010/GCNCP-VSD do TTLKCK Việt Nam cấp ngày 09/06/2010
Tổng số chứng khoán đăng ký:,120.000.000 Cổ phiếu
Tổng giá trị chứng khoán đăng ký:,1.200.000.000.000 đồng
Hình thức đăng ký:,Ghi sổ
Nơi quản lý tại VSD:,Trụ sở chính
