Keys,Values
Tên TCPH:,"
Công ty cổ phần Đầu tư và Phát triển Đức Quân
"
Tên chứng khoán:,Cổ phiếu Công ty cổ phần Đầu tư và Phát triển Đức Quân
Mã chứng khoán:,FTM
Mã ISIN:,VN000000FTM8
Loại chứng khoán:,Cổ phiếu phổ thông
Mệnh giá:,10.000 đồng
Sàn giao dịch (*):,UpCOM
Giấy chứng nhận ĐKCK:,số 01/2017/GCNCP-VSD do VSD cấp lần đầu ngày 04/01/2017
Tổng số chứng khoán đăng ký:,50.000.000 Cổ phiếu
Tổng giá trị chứng khoán đăng ký:,500.000.000.000 đồng
Hình thức đăng ký:,Ghi sổ
Nơi quản lý tại VSD:,Trụ sở chính
