Keys,Values
Tên TCPH:,"
Công ty cổ phần Văn hoá Phương Nam
"
Tên chứng khoán:,Cổ phiếu Công ty Cổ phần Văn hoá Phương Nam
Mã chứng khoán:,PNC
Mã ISIN:,VN000000PNC1
Loại chứng khoán:,Cổ phiếu phổ thông
Mệnh giá:,10.000 đồng
Sàn giao dịch (*):,HOSE
Giấy chứng nhận ĐKCK:,"số 55/2009/GCNCP-CNVSD-6 do TTLKCK Việt Nam cấp lần đầu ngày 04/07/2005, cấp sửa đổi lần 6 ngày 15/03/2013"
Tổng số chứng khoán đăng ký:,11.040.241 Cổ phiếu
Tổng giá trị chứng khoán đăng ký:,110.402.410.000 đồng
Hình thức đăng ký:,Ghi sổ
Nơi quản lý tại VSD:,Chi nhánh
