Keys,Values
Tên TCPH:,"
Công ty cổ phần đầu tư Xây dựng và Phát triển đô thị Sông Đà
"
Tên chứng khoán:,Cổ phiếu Công ty cổ phần đầu tư Xây dựng và Phát triển đô thị Sông Đà
Mã chứng khoán:,SDU
Mã ISIN:,VN000000SDU8
Loại chứng khoán:,Cổ phiếu phổ thông
Mệnh giá:,10.000 đồng
Sàn giao dịch (*):,HNX
Giấy chứng nhận ĐKCK:,"Số 53/2009/GCNCP-VSD do VSD cấp lần đầu ngày 11/09/2009, Số  53/2009/GCNCP-VSD-1 cấp thay đổi lần 1 ngày 26/10/2010"
Tổng số chứng khoán đăng ký:,20.000.000 Cổ phiếu
Tổng giá trị chứng khoán đăng ký:,200.000.000.000 đồng
Hình thức đăng ký:,Ghi sổ
Nơi quản lý tại VSD:,Trụ sở chính
