Keys,Values
Tên TCPH:,"
Công ty cổ phần Phát triển Đô thị Dầu khí
"
Tên chứng khoán:,Cổ phiếu Công ty cổ phần Phát triển Đô thị Dầu khí
Mã chứng khoán:,PXC
Mã ISIN:,VN000000PXC0
Loại chứng khoán:,Cổ phiếu phổ thông
Mệnh giá:,10.000 đồng
Sàn giao dịch (*):,UpCOM
Giấy chứng nhận ĐKCK:,"Số 04/2012/GCNCP-VSD-1 do TTLKCK Việt Nam cấp lần đầu ngày 13/02/2012, cấp thay đổi lần thứ 1 ngày 27/02/2014"
Tổng số chứng khoán đăng ký:,28.068.900 Cổ phiếu
Tổng giá trị chứng khoán đăng ký:,280.689.000.000 đồng
Hình thức đăng ký:,Ghi sổ
Nơi quản lý tại VSD:,Chi nhánh
