Keys,Values
Tên TCPH:,"
CTCP Xây dựng Công trình Giao thông Bến Tre
"
Tên chứng khoán:,Cổ phiếu CTCP Xây dựng Công trình Giao thông Bến Tre
Mã chứng khoán:,TBT
Mã ISIN:,VN000000TBT2
Loại chứng khoán:,Cổ phiếu phổ thông
Mệnh giá:,10.000 đồng
Sàn giao dịch (*):,UpCOM
Giấy chứng nhận ĐKCK:,số 43/2010/GCNCP-VSD do TTLKCK Việt Nam cấp ngày 11/02/2010
Tổng số chứng khoán đăng ký:,1.646.470 Cổ phiếu
Tổng giá trị chứng khoán đăng ký:,16.464.700.000 đồng
Hình thức đăng ký:,Ghi sổ
Nơi quản lý tại VSD:,Chi nhánh
