Keys,Values
Tên TCPH:,"
Công ty CP Đầu tư Bất động sản Việt Nam
"
Tên chứng khoán:,Cổ phiếu Công ty CP Đầu tư Bất động sản Việt Nam
Mã chứng khoán:,VNI
Mã ISIN:,VN000000VNI6
Loại chứng khoán:,Cổ phiếu phổ thông
Mệnh giá:,10.000 đồng
Sàn giao dịch (*):,UpCOM
Giấy chứng nhận ĐKCK:,số 067/2009/GCNCP-CNVSD do TTLKCK Việt Nam cấp ngày 01/09/2009
Tổng số chứng khoán đăng ký:,10.559.996 Cổ phiếu
Tổng giá trị chứng khoán đăng ký:,105.599.960.000 đồng
Hình thức đăng ký:,Ghi sổ
Nơi quản lý tại VSD:,Chi nhánh
