Keys,Values
Tên TCPH:,"
Công ty Cổ phần Đầu tư và Thương mại TNG
"
Tên chứng khoán:,Cổ phiếu Công ty Cổ phần  Đầu tư và Thương mại TNG
Mã chứng khoán:,TNG
Mã ISIN:,VN000000TNG4
Loại chứng khoán:,Cổ phiếu phổ thông
Mệnh giá:,10.000 đồng
Sàn giao dịch (*):,HNX
Giấy chứng nhận ĐKCK:,"Số 13/2007/GCNCP-TTLK do VSD cấp lần đầu ngày 13/11/2007, Số 13/2007/GCNCP-VSD-18 cấp thay đổi lần thứ 18 ngày 31/12/2021"
Tổng số chứng khoán đăng ký:,92.698.779 Cổ phiếu
Tổng giá trị chứng khoán đăng ký:,926.987.790.000 đồng
Hình thức đăng ký:,Ghi sổ
Nơi quản lý tại VSD:,Trụ sở chính
