Keys,Values
Tên TCPH:,"
CTCP Sách - Thiết bị Trường học Kiên Giang
"
Tên chứng khoán:,Cổ phiếu CTCP Sách - Thiết bị Trường học Kiên Giang
Mã chứng khoán:,KBE
Mã ISIN:,VN000000KBE3
Loại chứng khoán:,Cổ phiếu phổ thông
Mệnh giá:,10.000 đồng
Sàn giao dịch (*):,UpCOM
Giấy chứng nhận ĐKCK:,số 124/2009/GCNCP-VSD do TTLKCK Việt Nam cấp ngày 30/12/2009
Tổng số chứng khoán đăng ký:,1.231.060 Cổ phiếu
Tổng giá trị chứng khoán đăng ký:,12.310.600.000 đồng
Hình thức đăng ký:,Ghi sổ
Nơi quản lý tại VSD:,Chi nhánh
