Keys,Values
Tên TCPH:,"
Công ty cổ phần Môi trường và Dịch vụ Đô thị Vĩnh Yên
"
Tên chứng khoán:,Cổ phiếu Công ty cổ phần Môi trường và Dịch vụ Đô thị Vĩnh Yên
Mã chứng khoán:,MVY
Mã ISIN:,VN000000MVY5
Loại chứng khoán:,Cổ phiếu phổ thông
Mệnh giá:,10.000 đồng
Sàn giao dịch (*):,UpCOM
Giấy chứng nhận ĐKCK:,"Số 35/2014/GCNCP-VSD do VSD cấp lần đầu ngày 28/05/2014, Số: 35/2014/GCNCP-VSD-1 cấp thay đổi lần 1 ngày 28/12/2017"
Tổng số chứng khoán đăng ký:,5.969.946 Cổ phiếu
Tổng giá trị chứng khoán đăng ký:,59.699.460.000 đồng
Hình thức đăng ký:,Ghi sổ
Nơi quản lý tại VSD:,Trụ sở chính
