Keys,Values
Tên TCPH:,"
Công ty cổ phần Xuất nhập khẩu Thủy sản Sài Gòn
"
Tên chứng khoán:,Cổ phiếu CTCP  Xuất nhập khẩu Thủy sản Sài Gòn
Mã chứng khoán:,SSN
Mã ISIN:,VN000000SSN1
Loại chứng khoán:,Cổ phiếu phổ thông
Mệnh giá:,10.000 đồng
Sàn giao dịch (*):,UpCOM
Giấy chứng nhận ĐKCK:,"Số 23/2013/GCNCP-VSD do TTLKCK Việt Nam cấp lần đầu ngày 03/10/2013, Số 23/2013/GCNCP-VSD-1 cấp thay đổi lần 1 ngày 14/1/2015"
Tổng số chứng khoán đăng ký:,39.600.000 Cổ phiếu
Tổng giá trị chứng khoán đăng ký:,396.000.000.000 đồng
Hình thức đăng ký:,Ghi sổ
Nơi quản lý tại VSD:,Chi nhánh
