Keys,Values
Tên TCPH:,"
Công ty cổ phần Sách và Thiết bị trường học Hà Nội
"
Tên chứng khoán:,Cổ phiếu Công ty cổ phần Sách và Thiết bị trường học Hà Nội
Mã chứng khoán:,HAB
Mã ISIN:,VN000000HAB7
Loại chứng khoán:,Cổ phiếu phổ thông
Mệnh giá:,10.000 đồng
Sàn giao dịch (*):,UpCOM
Giấy chứng nhận ĐKCK:,Số 188/2017/GCNCP-VSD do VSD cấp lần đầu ngày 9/10/2017; Số 188/2017/GCNCP-VSD-1 cấp thay đổi lần 01 ngày 31/12/2021.
Tổng số chứng khoán đăng ký:,12.000.000 Cổ phiếu
Tổng giá trị chứng khoán đăng ký:,120.000.000.000 đồng
Hình thức đăng ký:,Ghi sổ
Nơi quản lý tại VSD:,Trụ sở chính
