Keys,Values
Tên TCPH:,"
Công ty Cổ phần Xi măng và Xây dựng Quảng Ninh
"
Tên chứng khoán:,Cổ phiếu Công ty Cổ phần Xi măng và Xây dựng Quảng Ninh
Mã chứng khoán:,QNC
Mã ISIN:,VN000000QNC9
Loại chứng khoán:,Cổ phiếu phổ thông
Mệnh giá:,10.000 đồng
Sàn giao dịch (*):,UpCOM
Giấy chứng nhận ĐKCK:,"Số 06/2008/GCNCP-TTLK do VSD cấp lần đầu ngày 09/01/2008, Số 06/2008/GCNCP-VSD-7 cấp thay đổi lần 7 ngày 25/03/2021"
Tổng số chứng khoán đăng ký:,50.000.000 Cổ phiếu
Tổng giá trị chứng khoán đăng ký:,500.000.000.000 đồng
Hình thức đăng ký:,Ghi sổ
Nơi quản lý tại VSD:,Trụ sở chính
