Keys,Values
Tên TCPH:,"
Công ty cổ phần Đầu tư  Nhơn Trạch
"
Tên chứng khoán:,Cổ phiếu Công ty cổ phần Đầu tư Nhơn Trạch
Mã chứng khoán:,NIC
Mã ISIN:,VN000000NIC6
Loại chứng khoán:,Cổ phiếu phổ thông
Mệnh giá:,10.000 đồng
Sàn giao dịch (*):,Đại chúng chưa niêm yết
Giấy chứng nhận ĐKCK:,Số 171/2017/GCNCP-VSD do VSD cấp ngày 31/08/2017
Tổng số chứng khoán đăng ký:,66.000.000 Cổ phiếu
Tổng giá trị chứng khoán đăng ký:,660.000.000.000 đồng
Hình thức đăng ký:,Ghi sổ
Nơi quản lý tại VSD:,Chi nhánh
