Keys,Values
Tên TCPH:,"
Công ty cổ phần Thương mại Dầu khí Đồng Tháp
"
Tên chứng khoán:,Cổ phiếu Công ty cổ phần Thương mại Dầu khí Đồng Tháp
Mã chứng khoán:,PDT
Mã ISIN:,VN000000PDT6
Loại chứng khoán:,Cổ phiếu phổ  thông
Mệnh giá:,10.000 đồng
Sàn giao dịch (*):,UpCOM
Giấy chứng nhận ĐKCK:,số 22/CPH/2018/GCNCP-VSD do VSD cấp ngày 30/10/2018
Tổng số chứng khoán đăng ký:,87.323.980 Cổ phiếu
Tổng giá trị chứng khoán đăng ký:,873.239.800.000 đồng
Hình thức đăng ký:,Ghi sổ
Nơi quản lý tại VSD:,Chi nhánh
