Keys,Values
Tên TCPH:,"
Công ty cổ phần Tập đoàn CNT
"
Tên chứng khoán:,Cổ phiếu Công ty cổ phần Tập đoàn CNT
Mã chứng khoán:,CNT
Mã ISIN:,VN000000CNT3
Loại chứng khoán:,Cổ phiếu phổ thông
Mệnh giá:,10.000 đồng
Sàn giao dịch (*):,UpCOM
Giấy chứng nhận ĐKCK:,"số 43/2008/GCNCP-CNTTLK do TTLKCK Việt Nam cấp ngày 18/04/2008, số 435/2010/GCNCP/CNVSD-3 cấp thay đổi lần 03 ngày 26/11/2020"
Tổng số chứng khoán đăng ký:,40.015.069 Cổ phiếu
Tổng giá trị chứng khoán đăng ký:,400.150.690.000 đồng
Hình thức đăng ký:,Ghi sổ
Nơi quản lý tại VSD:,Chi nhánh
