Keys,Values
Tên TCPH:,"
Công ty cổ phần Đầu tư - sản xuất và Thương mại Việt Nam
"
Tên chứng khoán:,Cổ phiếu Công ty cổ phần Đầu tư - sản xuất và Thương mại Việt Nam
Mã chứng khoán:,CTV
Mã ISIN:,VN000000CTV6
Loại chứng khoán:,Cổ phiếu phổ thông
Mệnh giá:,10.000 đồng
Sàn giao dịch (*):,Đại chúng chưa niêm yết
Giấy chứng nhận ĐKCK:,Số 56/2011/GCNCP-VSD do VSD cấp ngày 28/07/2011
Tổng số chứng khoán đăng ký:,2.000.000 Cổ phiếu
Tổng giá trị chứng khoán đăng ký:,20.000.000.000 đồng
Hình thức đăng ký:,Ghi sổ
Nơi quản lý tại VSD:,Trụ sở chính
