Keys,Values
Tên TCPH:,"
Công ty cổ phần Đầu tư Dịch vụ Tài chính Hoàng Huy
"
Tên chứng khoán:,Trái phiếu chuyển đổi CTCP Đầu tư Dịch vụ Tài chính Hoàng Huy
Mã chứng khoán:,TCH41905
Mã ISIN:,VN0TCH419052
Loại chứng khoán:,Trái phiếu doanh nghiệp
Mệnh giá:,1.000.000 đồng
Sàn giao dịch (*):,Đại chúng chưa niêm yết
Giấy chứng nhận ĐKCK:,số  23/2019/GCNTP-VSD do VSD cấp ngày 25/07/2019; số  23/2019/GCNTP-VSD -1 cấp thay đổi lần 01 ngày 31/03/2021
Tổng số chứng khoán đăng ký:,248.506 Trái phiếu
Tổng giá trị chứng khoán đăng ký:,248.506.000.000 đồng
Hình thức phát hành:,Phát hành riêng lẻ theo phương thức bán trực tiếp cho nhà đầu tư
Lãi suất:,5%/năm
Cách thức trả lãi:,Chuyển khoản
Kỳ hạn:,3 năm
Ngày phát hành:,22/03/2019
Ngày đáo hạn:,21/03/2022
Nơi quản lý tại VSD:,Trụ sở chính
