Keys,Values
Tên TCPH:,"
Công ty cổ phần Xuất nhập khẩu Tổng hợp và Đầu tư Tp.Hồ Chí Minh
"
Tên chứng khoán:,Cổ phiếu CTCP Xuất nhập khẩu Tổng hợp và Đầu tư Tp.Hồ Chí Minh
Mã chứng khoán:,IMT
Mã ISIN:,VN000000IMT2
Loại chứng khoán:,Cổ phiếu phổ thông
Mệnh giá:,10.000 đồng
Sàn giao dịch (*):,Đại chúng chưa niêm yết
Giấy chứng nhận ĐKCK:,số 43/2010/GCNCP-VSD do TTLKCK Việt Nam cấp ngày 11/02/2010
Tổng số chứng khoán đăng ký:,3.000.000 Cổ phiếu
Tổng giá trị chứng khoán đăng ký:,30.000.000.000 đồng
Hình thức đăng ký:,Ghi sổ
Nơi quản lý tại VSD:,Chi nhánh
