Keys,Values
Tên TCPH:,"
Công ty cổ phần Sách -Thiết bị Trường học Hà Tĩnh
"
Tên chứng khoán:,Cổ phiếu CTCP Sách - Thiết bị trường học Hà Tĩnh
Mã chứng khoán:,HBE
Mã ISIN:,VN000000HBE9
Loại chứng khoán:,Cổ phiếu phổ thông
Mệnh giá:,10.000 đồng
Sàn giao dịch (*):,HNX
Giấy chứng nhận ĐKCK:,"số 13/2008/GCNCP-TTLK do TTLKCK Việt Nam cấp lần đầu ngày 18/02/2008, 13/2008/GCNCP-VSD-2 thay đổi lần 2 ngày 03/8/2010"
Tổng số chứng khoán đăng ký:,2.231.058 Cổ phiếu
Tổng giá trị chứng khoán đăng ký:,22.310.580.000 đồng
Hình thức đăng ký:,Ghi sổ
Nơi quản lý tại VSD:,Trụ sở chính
