Keys,Values
Tên TCPH:,"
Công ty cổ phần Du lịch Vietourist
"
Tên chứng khoán:,Cổ phiếu Công ty cổ phần Du lịch Vietourist
Mã chứng khoán:,VTD
Mã ISIN:,VN000000VTD4
Loại chứng khoán:,Cổ phiếu phổ thông
Mệnh giá:,10.000 đồng
Sàn giao dịch (*):,UpCOM
Giấy chứng nhận ĐKCK:,"số 43/2019/GCNCP-VSD do VSD cấp lần đầu ngày 26/09/2019,  số 43/2019/GCNCP-VSD-1 cấp thay đổi lần 1 ngày 21/11/2019"
Tổng số chứng khoán đăng ký:,6.000.000 Cổ phiếu
Tổng giá trị chứng khoán đăng ký:,60.000.000.000 đồng
Hình thức đăng ký:,Ghi sổ
Nơi quản lý tại VSD:,Chi nhánh
