Keys,Values
Tên TCPH:,"
Công ty cổ phần Cà phê Thắng Lợi
"
Tên chứng khoán:,Cổ phiếu Công ty cổ phần Cà phê Thắng Lợi
Mã chứng khoán:,CFV
Mã ISIN:,VN000000CFV5
Loại chứng khoán:,Cổ phiếu phổ thông
Mệnh giá:,10.000 đồng
Sàn giao dịch (*):,UpCOM
Giấy chứng nhận ĐKCK:,"số 03/CPH/2019/GCNCP-VSD do VSD cấp ngày 20/05/2019, số 03/2022/GCNCP-VSD cấp điều chỉnh ngày 07/01/2022"
Tổng số chứng khoán đăng ký:,12.650.000 Cổ phiếu
Tổng giá trị chứng khoán đăng ký:,126.500.000.000 đồng
Hình thức đăng ký:,Ghi sổ
Nơi quản lý tại VSD:,Trụ sở chính
