Keys,Values
Tên TCPH:,"
Kho bạc Nhà nước- Bộ tài chính
"
Tên chứng khoán:,Trái phiếu Chính phủ đấu thầu đợt 61/2017
Mã chứng khoán:,TD1727397
Mã ISIN:,VNTD17273978
Loại chứng khoán:,Trái phiếu Chính phủ
Mệnh giá:,100.000 đồng
Sàn giao dịch (*):,Trái phiếu chuyên biệt
Giấy chứng nhận ĐKCK:,"Số 48/2017/GCNTP-VSD do VSD cấp ngày 04/05/2017, Số 48/2017/GCNTP-VSD-4 cấp thay đổi lần 4 ngày 29/06/2017"
Tổng số chứng khoán đăng ký:,53.000.000 Trái phiếu
Tổng giá trị chứng khoán đăng ký:,5.300.000.000.000 đồng
Hình thức phát hành:,Đấu thầu	
Lãi suất:,6%/năm
Cách thức trả lãi:,"Tiền gốc trái phiếu được thanh toán 01 lần khi đến hạn, tiền lãi trái phiếu được thanh toán định kỳ hàng năm vào ngày 04/05 từ năm 2018 đến năm đáo hạn.				"
Kỳ hạn:,10 năm
Ngày phát hành:,04/05/2017
Ngày đáo hạn:,04/05/2027
Nơi quản lý tại VSD:,Trụ sở chính
