Keys,Values
Tên TCPH:,"
Công ty cổ phần Tập đoàn Vexilla Việt Nam
"
Tên chứng khoán:,Cổ phiếu Công ty cổ phần Tập đoàn Vexilla Việt Nam
Mã chứng khoán:,SVN
Mã ISIN:,VN000000SVN5
Loại chứng khoán:,Cổ phiếu phổ thông
Mệnh giá:,10.000 đồng
Sàn giao dịch (*):,HNX
Giấy chứng nhận ĐKCK:,"Số 54/2011/GCNCP-VSD do VSD cấp ngày 18/07/2011, Số 54/2011/GCNCP-VSD-3 cấp thay đổi lần 3 ngày 04/11/2019"
Tổng số chứng khoán đăng ký:,21.000.000 Cổ phiếu
Tổng giá trị chứng khoán đăng ký:,210.000.000.000 đồng
Hình thức đăng ký:,Ghi sổ
Nơi quản lý tại VSD:,Chi nhánh
