Keys,Values
Tên TCPH:,"
CTCP Văn hóa Tân Bình
"
Tên chứng khoán:,Cổ phiếu CTCP Văn hóa Tân Bình
Mã chứng khoán:,ALT
Mã ISIN:,VN000000ALT1
Loại chứng khoán:,Cổ phiếu phổ thông
Mệnh giá:,10.000 đồng
Sàn giao dịch (*):,HNX
Giấy chứng nhận ĐKCK:,"Số 36/2006/GCNCP-CNTTLK do TTLKCK Việt Nam cấp lần đầu ngày 03/11/2006, Số 36/2006/GCNCP-VSD-7 cấp thay đổi lần 7 ngày 17/02/2016"
Tổng số chứng khoán đăng ký:,6.172.523 Cổ phiếu
Tổng giá trị chứng khoán đăng ký:,61.725.230.000 đồng
Hình thức đăng ký:,Ghi sổ
Nơi quản lý tại VSD:,Chi nhánh
