Keys,Values
Tên TCPH:,"
Công ty cổ phần Đầu tư Xây dựng Dân dụng Hà Nội
"
Tên chứng khoán:,Cổ phiếu Công ty cổ phần Đầu tư Xây dựng Dân dụng Hà Nội
Mã chứng khoán:,XDH
Mã ISIN:,VN000000XDH5
Loại chứng khoán:,Cổ phiếu phổ thông
Mệnh giá:,10.000 đồng
Sàn giao dịch (*):,UpCOM
Giấy chứng nhận ĐKCK:,"số 58/2018/GCNCP-VSD do VSD cấp lần đầu ngày 17/07/2018,  số 58/2018/GCNCP-VSD-2 cấp thay đổi lần 2 ngày 21/10/2021"
Tổng số chứng khoán đăng ký:,16.380.000 Cổ phiếu
Tổng giá trị chứng khoán đăng ký:,163.800.000.000 đồng
Hình thức đăng ký:,Ghi sổ
Nơi quản lý tại VSD:,Trụ sở chính
