Keys,Values
Tên TCPH:,"
Công ty cổ phần Hữu Liên á Châu
"
Tên chứng khoán:,Cổ phiếu công ty cổ phần Hữu Liên á Châu
Mã chứng khoán:,HLA
Mã ISIN:,VN000000HLA6
Loại chứng khoán:,Cổ phiếu phổ thông
Mệnh giá:,10.000 đồng
Sàn giao dịch (*):,UpCOM
Giấy chứng nhận ĐKCK:,"số 104/2008/GCNCP-CNVSD đăng ký lần đầu ngày 10/11/2008, đăng ký thay đổi lần 02 ngày 05/4/2011"
Tổng số chứng khoán đăng ký:,34.459.293 Cổ phiếu
Tổng giá trị chứng khoán đăng ký:,344.592.930.000 đồng
Hình thức đăng ký:,Ghi sổ
Nơi quản lý tại VSD:,Chi nhánh
