Keys,Values
Tên TCPH:,"
Công ty cổ phần Cấp nước Phú Thọ
"
Tên chứng khoán:,Cổ phiếu Công ty cổ phần Cấp nước Phú Thọ
Mã chứng khoán:,BPT
Mã ISIN:,VN000000BPT0
Loại chứng khoán:,Cổ phiếu phổ thông
Mệnh giá:,10.000 đồng
Sàn giao dịch (*):,UpCOM
Giấy chứng nhận ĐKCK:,số 17/2020/GCNCP-VSD do VSD cấp ngày 09/03/2020; số 17/2020/GCNCP-VSD-1 cấp thay đổi lần 01 ngày 04/12/2020 
Tổng số chứng khoán đăng ký:,2.580.715 Cổ phiếu
Tổng giá trị chứng khoán đăng ký:,25.807.150.000 đồng
Hình thức đăng ký:, Ghi sổ
Nơi quản lý tại VSD:,Trụ sở chính
