Keys,Values
Tên TCPH:,"
Công ty cổ phần Nhiệt điện Quảng Ninh
"
Tên chứng khoán:,Cổ phiếu Công ty cổ phần Nhiệt điện Quảng Ninh
Mã chứng khoán:,QTP
Mã ISIN:,VN000000QTP8
Loại chứng khoán:,Cổ phiếu phổ thông
Mệnh giá:,10.000 đồng
Sàn giao dịch (*):,UpCOM
Giấy chứng nhận ĐKCK:,số 18/2017/GCNCP-VSD do VSD cấp lần đầu ngày 13/01/2017
Tổng số chứng khoán đăng ký:,450.000.000 Cổ phiếu
Tổng giá trị chứng khoán đăng ký:,4.500.000.000.000 đồng
Hình thức đăng ký:,Ghi sổ
Nơi quản lý tại VSD:,Trụ sở chính
