Keys,Values
Tên TCPH:,"
Công ty cổ phần Đầu tư  và Dịch vụ Hạ tầng Xăng Dầu
"
Tên chứng khoán:,Cổ phiếu CTCP Đầu tư và Dịch vụ Hạ tầng Xăng Dầu
Mã chứng khoán:,PLA
Mã ISIN:,VN000000PLA9
Loại chứng khoán:,Cổ phiếu phổ thông
Mệnh giá:,10.000 đồng
Sàn giao dịch (*):,UpCOM
Giấy chứng nhận ĐKCK:,số 206/2017/GCNCP-VSD do VSD cấp ngày 01/11/2017
Tổng số chứng khoán đăng ký:,10.000.000 Cổ phiếu
Tổng giá trị chứng khoán đăng ký:,100.000.000.000 đồng
Hình thức đăng ký:,Ghi sổ
Nơi quản lý tại VSD:,Trụ sở chính
