Keys,Values
Tên TCPH:,"
Công ty cổ phần Năng lượng và Bất động sản Trường Thành
"
Tên chứng khoán:,Cổ phiếu Công ty cổ phần Năng lượng và Bất động sản Trường Thành
Mã chứng khoán:,TEG
Mã ISIN:,VN000000TEG3
Loại chứng khoán:,Cổ phiếu phổ thông
Mệnh giá:,10.000 đồng
Sàn giao dịch (*):,HOSE
Giấy chứng nhận ĐKCK:,"Số 101/2015/GCNCP-VSD do VSD ngày 26/10/2015, Số 101/2015/GCNCP-VSD-8 cấp thay đổi lần 8 ngày 22/10/2021"
Tổng số chứng khoán đăng ký:,65.591.772 Cổ phiếu
Tổng giá trị chứng khoán đăng ký:,655.917.720.000 đồng
Hình thức đăng ký:,Ghi sổ
Nơi quản lý tại VSD:,Trụ sở chính
