Keys,Values
Tên TCPH:,"
Công ty cổ phần Thương mại Xuất nhập khẩu Thiên Nam
"
Tên chứng khoán:,Cổ phiếu Công ty cổ phần Thương mại XNK Thiên Nam
Mã chứng khoán:,TNA
Mã ISIN:,VN000000TNA7
Loại chứng khoán:,Cổ phiếu phổ thông
Mệnh giá:,10.000 đồng
Sàn giao dịch (*):,HOSE
Giấy chứng nhận ĐKCK:,"Số 145CN/TTGDHCM-LK do TTGDHCM cấp lần đầu ngày 07/07/2005, Số 98/2009/GCNCP-VSD-9 do VSD cấp thay đổi lần 9 ngày 10/09/2020"
Tổng số chứng khoán đăng ký:,49.576.264 Cổ phiếu
Tổng giá trị chứng khoán đăng ký:,495.762.640.000 đồng
Hình thức đăng ký:,Ghi sổ
Nơi quản lý tại VSD:,Chi nhánh
