Keys,Values
Tên TCPH:,"
Công ty cổ phần Tập đoàn Mai Linh
"
Tên chứng khoán:,Cổ phiếu Công ty cổ phần Tập đoàn Mai Linh
Mã chứng khoán:,MLG
Mã ISIN:,VN000000MLG3
Loại chứng khoán:,Cổ phiếu phổ thông
Mệnh giá:,10.000 đồng
Sàn giao dịch (*):,Đại chúng chưa niêm yết
Giấy chứng nhận ĐKCK:,"Số 26/2010/GCNCP-VSD-2 do VSD cấp lần đầu ngày 27/01/2010, cấp thay đổi lần 2 ngày 04/06/2014"
Tổng số chứng khoán đăng ký:,101.671.663 Cổ phiếu
Tổng giá trị chứng khoán đăng ký:,1.016.716.630.000 đồng
Hình thức đăng ký:,Ghi sổ
Nơi quản lý tại VSD:,Chi nhánh
