Keys,Values
Tên TCPH:,"
Công ty cổ phần Môi trường và Công trình đô thị Thanh Hóa
"
Tên chứng khoán:,Cổ phiếu Công ty cổ phần Môi trường và Công trình  đô thị Thanh Hóa
Mã chứng khoán:,THU
Mã ISIN:,VN000000THU7
Loại chứng khoán:,Cổ phiếu phổ thông
Mệnh giá:,10.000 đồng
Sàn giao dịch (*):,UpCOM
Giấy chứng nhận ĐKCK:,số 37/2017/GCNCP-VSD do VSD cấp lần đầu ngày 03/02/2017
Tổng số chứng khoán đăng ký:,3.297.790 Cổ phiếu
Tổng giá trị chứng khoán đăng ký:,32.977.900.000 đồng
Hình thức đăng ký:,Ghi sổ
Nơi quản lý tại VSD:,Trụ sở chính
