Keys,Values
Tên TCPH:,"
CTCP Đầu tư Phát triển Nhà và Đô thị HUD6
"
Tên chứng khoán:,Cổ phiếu CTCP Đầu tư Phát triển Nhà và Đô thị HUD6
Mã chứng khoán:,HU6
Mã ISIN:,VN000000HU68
Loại chứng khoán:,Cổ phiếu phổ thông
Mệnh giá:,10.000 đồng
Sàn giao dịch (*):,UpCOM
Giấy chứng nhận ĐKCK:,"Số 110/2010/GCNCP-VSD do TTLKCK Việt Nam cấp lần đầu ngày 04/05/2010, Số 110/2010/GCNCP-VSD-1 cấp thay đổi lần 1 ngày 20/1/2015"
Tổng số chứng khoán đăng ký:,7.500.000 Cổ phiếu
Tổng giá trị chứng khoán đăng ký:,75.000.000.000 đồng
Hình thức đăng ký:,Ghi sổ
Nơi quản lý tại VSD:,Trụ sở chính
