Keys,Values
Tên TCPH:,"
Tổng công ty Máy động lực và Máy nông nghiệp Việt Nam - CTCP
"
Tên chứng khoán:,Cổ phiếu Tổng công ty Máy động lực và Máy nông nghiệp Việt Nam - CTCP
Mã chứng khoán:,VEA
Mã ISIN:,VN000000VEA2
Loại chứng khoán:,Cổ phiếu phổ thông
Mệnh giá:,10.000 đồng
Sàn giao dịch (*):,UpCOM
Giấy chứng nhận ĐKCK:,số 205/2017/GCNCP-VSD do VSD cấp ngày 01/11/2017
Tổng số chứng khoán đăng ký:,1.328.800.000 Cổ phiếu
Tổng giá trị chứng khoán đăng ký:,13.288.000.000.000 đồng
Hình thức đăng ký:, Ghi sổ
Nơi quản lý tại VSD:,Trụ sở chính
