Keys,Values
Tên TCPH:,"
Công ty cổ phần Dịch vụ Bất động sản Đất Xanh
"
Tên chứng khoán:,Cổ phiếu Công ty cổ phần Dịch vụ Bất động sản Đất Xanh
Mã chứng khoán:,DXS
Mã ISIN:,VN000000DXS2
Loại chứng khoán:,Cổ phiếu phổ thông
Mệnh giá:,10.000 đồng
Sàn giao dịch (*):,HOSE
Giấy chứng nhận ĐKCK:,Số:   22/2021/GCNCP-VSD do VSD cấp lần đầu ngày 28/05/2021
Tổng số chứng khoán đăng ký:,358.201.208 Cổ phiếu
Tổng giá trị chứng khoán đăng ký:,3.582.012.080.000 đồng
Hình thức đăng ký:,Ghi sổ
Nơi quản lý tại VSD:,Chi nhánh
