Keys,Values
Tên TCPH:,"
Công ty cổ phần Đầu tư phát triển Sài Gòn 3 Group
"
Tên chứng khoán:,Cổ phiếu Công ty cổ phần Đầu tư phát triển Sài Gòn 3 Group
Mã chứng khoán:,SGI
Mã ISIN:,VN000000SGI6
Loại chứng khoán:,Cổ phiếu phổ thông
Mệnh giá:,10.000 đồng
Sàn giao dịch (*):,UpCOM
Giấy chứng nhận ĐKCK:,Số: 17/2021/GCNCP-VSD do VSD cấp lần đầu ngày 19/04/2021
Tổng số chứng khoán đăng ký:,75.464.700 Cổ phiếu
Tổng giá trị chứng khoán đăng ký:,754.647.000.000 đồng
Hình thức đăng ký:,Ghi sổ
Nơi quản lý tại VSD:,Chi nhánh
