Keys,Values
Tên TCPH:,"
Công ty cổ phần Giao nhận vận tải Ngoại Thương
"
Tên chứng khoán:,Cổ phiếu Công ty cổ phần Giao nhận vận tải Ngoại thương
Mã chứng khoán:,VNT
Mã ISIN:,VN000000VNT3
Loại chứng khoán:,Cổ phiếu phổ thông
Mệnh giá:,10.000 đồng
Sàn giao dịch (*):,HNX
Giấy chứng nhận ĐKCK:,"Số 38/2009/GCNCP-TTLK do VSD cấp ngày 07/08/2009, Số 38/2009/GCNCP-VSD-4 cấp thay đổi lần 4 ngày 28/11/2018"
Tổng số chứng khoán đăng ký:,11.949.005 Cổ phiếu
Tổng giá trị chứng khoán đăng ký:,119.490.050.000 đồng
Hình thức đăng ký:,Ghi sổ
Nơi quản lý tại VSD:,Trụ sở chính
