Keys,Values
Tên TCPH:,"
Ngân hàng Chính sách Xã hội
"
Tên chứng khoán:,Trái phiếu Ngân hàng Chính sách Xã hội
Mã chứng khoán:,BVBS14017
Mã ISIN:,VNBVBS140179
Loại chứng khoán:,Trái phiếu được Chính phủ bảo lãnh
Mệnh giá:,100.000 đồng
Sàn giao dịch (*):,Trái phiếu chuyên biệt
Giấy chứng nhận ĐKCK:,38/2014/GCNTP-VSD ngày 08/4/2014
Tổng số chứng khoán đăng ký:,3.000.000 Trái phiếu
Tổng giá trị chứng khoán đăng ký:,300.000.000.000 đồng
Hình thức phát hành:,Đấu thầu
Lãi suất:,"6,9%/năm"
Cách thức trả lãi:,Lãi được trả sau mỗi năm một lần trùng với ngày phát hành. Gốc được thanh toán một lần bằng mệnh giá khi đến hạn
Kỳ hạn:,3 năm
Ngày phát hành:,08/04/2014
Ngày đáo hạn:,08/04/2017
Nơi quản lý tại VSD:,Trụ sở chính
