Keys,Values
Tên TCPH:,"
Công ty cổ phần Khoáng sản FECON
"
Tên chứng khoán:,Cổ phiếu Công ty cổ phần Khoáng sản FECON
Mã chứng khoán:,FCM
Mã ISIN:,VN000000FCM4
Loại chứng khoán:,Cổ phiếu phổ thông
Mệnh giá:,10.000 đồng
Sàn giao dịch (*):,HOSE
Giấy chứng nhận ĐKCK:,"Số 06/2013/GCNCP-VSD do VSD cấp lần đầu ngày  24/04/2013, Số 06/2013/GCNCP-VSD-2 cấp thay đổi lần 2 ngày 29/12/2021"
Tổng số chứng khoán đăng ký:,45.099.969 Cổ phiếu
Tổng giá trị chứng khoán đăng ký:,450.999.690.000 đồng
Hình thức đăng ký:,Ghi sổ
Nơi quản lý tại VSD:,Trụ sở chính
