Keys,Values
Tên TCPH:,"
CTCP Hợp tác lao động với nước ngoài
"
Tên chứng khoán:,Cổ phiếu CTCP Hợp tác Lao động với nước ngoài
Mã chứng khoán:,ILC
Mã ISIN:,VN000000ILC0
Loại chứng khoán:,Cổ phiếu phổ thông
Mệnh giá:,10.000 đồng
Sàn giao dịch (*):,UpCOM
Giấy chứng nhận ĐKCK:,"Số 14/GCN/TTGDHN-LK do Sở GDCKHN cấp lần đầu ngày 21/12/2005, Số: 14/2005/GCNCP-VSD -3 do VSD cấp thay đổi lần 3 ngày 07/05/2018"
Tổng số chứng khoán đăng ký:,6.100.391 Cổ phiếu
Tổng giá trị chứng khoán đăng ký:,61.003.910.000 đồng
Hình thức đăng ký:,Ghi sổ
Nơi quản lý tại VSD:,Trụ sở chính
