Keys,Values
Tên TCPH:,"
Công ty Cổ phần Nước Giải khát Sài Gòn
"
Tên chứng khoán:,Cổ phiếu Công ty Cổ phần Nước Giải khát Sài Gòn
Mã chứng khoán:,TRI
Mã ISIN:,VN000000TRI1
Loại chứng khoán:,Cổ phiếu phổ thông
Mệnh giá:,10.000 đồng
Sàn giao dịch (*):,Đại chúng chưa niêm yết
Giấy chứng nhận ĐKCK:,062/2009/GCNCP-CNTTLK cấp ngày 18/8/2009
Tổng số chứng khoán đăng ký:,27.548.360 Cổ phiếu
Tổng giá trị chứng khoán đăng ký:,275.483.600.000 đồng
Hình thức đăng ký:,Ghi sổ
Nơi quản lý tại VSD:,Chi nhánh
