Keys,Values
Tên TCPH:,"
Công ty cổ phần Container Việt Nam
"
Tên chứng khoán:,Cổ phiếu Công ty cổ phần Container Việt Nam
Mã chứng khoán:,VSC
Mã ISIN:,VN000000VSC8
Loại chứng khoán:,Cổ phiếu phổ thông
Mệnh giá:,10.000 đồng
Sàn giao dịch (*):,HOSE
Giấy chứng nhận ĐKCK:,Số 125/2007/GCNCP-CNTTLK do VSD cấp lần đầu ngày 11/12/2007. Số 125/2007/GCNCP-VSD-11 cấp thay đổi lần 11 ngày 16/02/2022
Tổng số chứng khoán đăng ký:,110.245.596 Cổ phiếu
Tổng giá trị chứng khoán đăng ký:,1.102.455.960.000 đồng
Hình thức đăng ký:,Ghi sổ
Nơi quản lý tại VSD:,Trụ sở chính
