Keys,Values
Tên TCPH:,"
Công ty cổ phần Vận tải Đa phương thức Vietranstimex
"
Tên chứng khoán:,Cổ phiếu Công ty cổ phần Vận tải Đa phương thức Vietranstimex
Mã chứng khoán:,VTX
Mã ISIN:,VN000000VTX2
Loại chứng khoán:,Cổ phiếu phổ thông
Mệnh giá:,10.000 đồng
Sàn giao dịch (*):,UpCOM
Giấy chứng nhận ĐKCK:,"Số 25/2014/GCNCP-VSD do VSD cấp ngày 10/04/2014, Số 25/2014/GCNCP-VSD-1 cấp thay đổi lần 1 ngày 09/11/2016"
Tổng số chứng khoán đăng ký:,20.972.321 Cổ phiếu
Tổng giá trị chứng khoán đăng ký:,209.723.210.000 đồng
Hình thức đăng ký:,Ghi sổ
Nơi quản lý tại VSD:,Trụ sở chính
