Keys,Values
Tên TCPH:,"
Công ty cổ phần Đầu tư Du lịch và Phát triển Thủy sản
"
Tên chứng khoán:,Cổ phiếu Công ty cổ phần Đầu tư Du lịch và Phát triển Thủy sản
Mã chứng khoán:,DAT
Mã ISIN:,VN000000DAT8
Loại chứng khoán:,Cổ phiếu phổ thông
Mệnh giá:,10.000 đồng
Sàn giao dịch (*):,HOSE
Giấy chứng nhận ĐKCK:,"số 61/2015/GCNCP-VSD do VSD cấp ngày 28/07/2015, Số: 61/2015/GCNCP-VSD- 3 cấp thay đổi lần 3 ngày 02/03/2022"
Tổng số chứng khoán đăng ký:,55.206.417 Cổ phiếu
Tổng giá trị chứng khoán đăng ký:,552.064.170.000 đồng
Hình thức đăng ký:,Ghi sổ
Nơi quản lý tại VSD:,Chi nhánh
