Keys,Values
Tên TCPH:,"
Công ty cổ phần Khoáng sản Bắc Kạn
"
Tên chứng khoán:,Cổ phiếu Công ty cổ phần Khoáng sản Bắc Kạn
Mã chứng khoán:,BKC
Mã ISIN:,VN000000BKC7
Loại chứng khoán:,Cổ phiếu phổ thông
Mệnh giá:,10.000 đồng
Sàn giao dịch (*):,HNX
Giấy chứng nhận ĐKCK:,"Số 42/2009/GCNCP-TTLK do VSD cấp lần đầu  ngày 11/08/2009, Số 42/2009/GCNCP-VSD-2 cấp thay đổi lần 2 ngày 08/01/2015"
Tổng số chứng khoán đăng ký:,11.737.728 Cổ phiếu
Tổng giá trị chứng khoán đăng ký:,117.377.280.000 đồng
Hình thức đăng ký:,Ghi sổ
Nơi quản lý tại VSD:,Trụ sở chính
