Keys,Values
Tên TCPH:,"
Công ty cổ phần bảo hiểm Hùng Vương
"
Tên chứng khoán:,Cổ phiếu Công ty cổ phần bảo hiểm Hùng Vương
Mã chứng khoán:,HVB
Mã ISIN:,VN000000HVB3
Loại chứng khoán:,Cổ phiếu phổ thông 
Mệnh giá:,10.000 đồng
Sàn giao dịch (*):,Đại chúng chưa niêm yết
Giấy chứng nhận ĐKCK:,Số 10/2019/GCNCP-VSD do VSD cấp lần đầu ngày 22/02/2019
Tổng số chứng khoán đăng ký:,30.000.000 Cổ phiếu
Tổng giá trị chứng khoán đăng ký:,300.000.000.000 đồng
Hình thức đăng ký:,Ghi sổ
Nơi quản lý tại VSD:,Chi nhánh
