Keys,Values
Tên TCPH:,"
Công ty cổ phần Cấp nước sinh hoạt Châu Thành
"
Tên chứng khoán:,Cổ phiếu Công ty cổ phần Cấp nước sinh hoạt Châu Thành
Mã chứng khoán:,DKW
Mã ISIN:,VN000000DKW1
Loại chứng khoán:,Cổ phiếu phổ thông
Mệnh giá:,10.000 đồng
Sàn giao dịch (*):,UpCOM
Giấy chứng nhận ĐKCK:,Số: 14/2022/GCNCP-VSD do VSD cấp lần đầu ngày 21/02/2022
Tổng số chứng khoán đăng ký:,4.169.645 Cổ phiếu
Tổng giá trị chứng khoán đăng ký:,41.696.450.000 đồng
Hình thức đăng ký:,Ghi sổ
Nơi quản lý tại VSD:,Chi nhánh
