Keys,Values
Tên TCPH:,"
Công Ty Cổ Phần FULL POWER
"
Tên chứng khoán:,Cổ Phiếu CTCP FULL POWER
Mã chứng khoán:,FPC
Mã ISIN:,VN000000FPC7
Loại chứng khoán:,Cổ phiếu phổ thông
Mệnh giá:,10.000 đồng
Sàn giao dịch (*):,Đại chúng chưa niêm yết
Giấy chứng nhận ĐKCK:,số 13/2006/GCNCP-VSD-7 do TTLKCK Việt Nam cấp thay đổi lần 7 ngày 18/08/2011
Tổng số chứng khoán đăng ký:,32.999.991 Cổ phiếu
Tổng giá trị chứng khoán đăng ký:,329.999.910.000 đồng
Hình thức đăng ký:,Ghi sổ
Nơi quản lý tại VSD:,Chi nhánh
