Keys,Values
Tên TCPH:,"
Công ty cổ phần Sách và Thiết bị Trường học Đà Nẵng
"
Tên chứng khoán:,Cổ phiếu công ty cổ phần Sách và Thiết bị trường học Đà Nẵng
Mã chứng khoán:,BED
Mã ISIN:,VN000000BED8
Loại chứng khoán:,Cổ phiếu phổ thông
Mệnh giá:,10.000 đồng
Sàn giao dịch (*):,HNX
Giấy chứng nhận ĐKCK:,số 59/2009/GCNCP-VSD do TTLKCK Việt Nam cấp lần đầu ngày 25/09/2009
Tổng số chứng khoán đăng ký:,3.000.000 Cổ phiếu
Tổng giá trị chứng khoán đăng ký:,30.000.000.000 đồng
Hình thức đăng ký:,Ghi sổ
Nơi quản lý tại VSD:,Trụ sở chính
