Keys,Values
Tên TCPH:,"
Công ty Cổ phần Bất động sản và Đầu tư VRC
"
Tên chứng khoán:,Cổ phiếu Công ty Cổ phần Bất động sản và Đầu tư VRC
Mã chứng khoán:,VRC
Mã ISIN:,VN000000VRC0
Loại chứng khoán:,Cổ phiếu phổ thông
Mệnh giá:,10.000 đồng
Sàn giao dịch (*):,HOSE
Giấy chứng nhận ĐKCK:,"Số 170/2010/GCNCP-VSD do VSD cấp lần đầu ngày 15/07/2010, số 170/2010/GCNCP-VSD-4 cấp thay đổi lần 4 ngày 09/11/2017"
Tổng số chứng khoán đăng ký:,50.000.000 Cổ phiếu
Tổng giá trị chứng khoán đăng ký:,500.000.000.000 đồng
Hình thức đăng ký:,Ghi sổ
Nơi quản lý tại VSD:,Chi nhánh
