Keys,Values
Tên TCPH:,"
Ngân hàng Chính sách Xã hội
"
Tên chứng khoán:,Trái phiếu Ngân hàng Chính sách xã hội
Mã chứng khoán:,BVBS14036
Mã ISIN:,VNBVBS140369
Loại chứng khoán:,Trái phiếu được Chính phủ bảo lãnh
Mệnh giá:,100.000 đồng
Sàn giao dịch (*):,Trái phiếu chuyên biệt
Giấy chứng nhận ĐKCK:,Số 12/2014/GCNTP-VSD do TTLKCK Việt Nam cấp ngày 22/01/2014
Tổng số chứng khoán đăng ký:,2.018.250 Trái phiếu
Tổng giá trị chứng khoán đăng ký:,201.825.000.000 đồng
Hình thức phát hành:,Đấu thầu
Lãi suất:,"9,2%/năm"
Cách thức trả lãi:,Tiền lãi trái phiếu được trả sau mỗi năm một lần vào ngày trùng với ngày phát hành trái phiếu. Tiền gốc trái phiếu được thanh toán một lần bằng mệnh giá khi đến hạn
Kỳ hạn:,5 năm
Ngày phát hành:,22/01/2014
Ngày đáo hạn:,22/01/2019
Nơi quản lý tại VSD:,Trụ sở chính
