Keys,Values
Tên TCPH:,"
Công ty cổ phần Dịch vụ Hàng hóa Nội Bài
"
Tên chứng khoán:,Cổ phiếu Công ty cổ phần Dịch vụ Hàng hóa Nội Bài
Mã chứng khoán:,NCT
Mã ISIN:,VN000000NCT3
Loại chứng khoán:,Cổ phiếu phổ thông
Mệnh giá:,10.000 đồng
Sàn giao dịch (*):,HOSE
Giấy chứng nhận ĐKCK:,"Số 80/2014/GCNCP-VSD do VSD cấp lần đầu ngày 25/11/2014, Số 80/2014/GCNCP-VSD- 1 cấp thay đổi lần 1 ngày 30/6/2015"
Tổng số chứng khoán đăng ký:,26.166.940 Cổ phiếu
Tổng giá trị chứng khoán đăng ký:,261.669.400.000 đồng
Hình thức đăng ký:,Ghi sổ
Nơi quản lý tại VSD:,Trụ sở chính
