Keys,Values
Tên TCPH:,"
CTCP Thủy điện Gia Lai
"
Tên chứng khoán:,Cổ phiếu CTCP Thủy điện Gia Lai
Mã chứng khoán:,GHC
Mã ISIN:,VN000000GHC2
Loại chứng khoán:,Cổ phiếu phổ thông
Mệnh giá:,10.000 đồng
Sàn giao dịch (*):,UpCOM
Giấy chứng nhận ĐKCK:,số 281/2010/GCNCP-VSD do VSD cấp lần đầu ngày 26/11/2010; số 281/2010/GCNCP-VSD-3 cấp thay đổi lần 03 ngày 09/11/2021
Tổng số chứng khoán đăng ký:,47.662.500 Cổ phiếu
Tổng giá trị chứng khoán đăng ký:,476.625.000.000 đồng
Hình thức đăng ký:,Ghi sổ
Nơi quản lý tại VSD:,Chi nhánh
