Keys,Values
Tên TCPH:,"
Công ty cổ phần Xây dựng và Đầu tư Khu du lịch Sinh Thái
"
Tên chứng khoán:,Cổ phiếu Công ty cổ phần Xây dựng và Đầu tư Khu du lịch Sinh thái
Mã chứng khoán:,REN
Mã ISIN:,VN000000REN3
Loại chứng khoán:,Cổ phiếu phổ thông
Mệnh giá:,10.000 đồng
Sàn giao dịch (*):,UpCOM
Giấy chứng nhận ĐKCK:,số 03/2011/GCNCP-VSD do Trung tâm lưu ký chứng khoán Việt Nam cấp ngày 11/1/2011
Tổng số chứng khoán đăng ký:,2.818.032 Cổ phiếu
Tổng giá trị chứng khoán đăng ký:,28.180.320.000 đồng
Hình thức đăng ký:,Ghi sổ
Nơi quản lý tại VSD:,Trụ sở chính
