Keys,Values
Tên TCPH:,"
Tổng Công ty Cổ phần Bảo hiểm Bảo Long
"
Tên chứng khoán:,Cổ phiếu Tổng Công ty Cổ phần Bảo hiểm Bảo Long
Mã chứng khoán:,BLI
Mã ISIN:,VN000000BLI2
Loại chứng khoán:,Cổ phiếu phổ thông
Mệnh giá:,10.000 đồng
Sàn giao dịch (*):,UpCOM
Giấy chứng nhận ĐKCK:,"số 86/2015/GCNCP-VSD do VSD cấp ngày 1/10/2015, số 86/2015/GCNCP-VSD-2 cấp thay đổi lần 02 ngày 27/03/2017"
Tổng số chứng khoán đăng ký:,60.000.000 Cổ phiếu
Tổng giá trị chứng khoán đăng ký:,600.000.000.000 đồng
Hình thức đăng ký:,Ghi sổ
Nơi quản lý tại VSD:,Chi nhánh
